cod_dpto,departamento,cod_mpio,municipio,departamento_mgn,municipio_mgn,municipio_tipo_mgn,area_km2_mgn_attribute,area_km2_calc,centroid_lat,centroid_lon,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,has_mgn_centroid,has_reps_supply
05,Antioquia,05113,Buriticá,ANTIOQUIA,BURITICÁ,MUNICIPIO,355.2788721,355.27887210061516,6.809021757024714,-75.91206027525706,3.0,3.0,3.0,2.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05120,Cáceres,ANTIOQUIA,CÁCERES,MUNICIPIO,1872.78473236,1872.7847323164074,7.66514296058419,-75.22367750235321,6.0,5.0,6.0,2.0,2.0,4.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05125,Caicedo,ANTIOQUIA,CAICEDO,MUNICIPIO,200.13032896,200.1303289622784,6.423464310697152,-75.99351440849279,10.0,10.0,10.0,1.0,1.0,9.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05129,Caldas,ANTIOQUIA,CALDAS,MUNICIPIO,132.76524588,132.76524587579328,6.054459575004191,-75.62641130411524,151.0,142.0,151.0,13.0,2.0,149.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05134,Campamento,ANTIOQUIA,CAMPAMENTO,MUNICIPIO,232.0852357,232.08523569623355,7.0354243365453515,-75.2922486237134,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05138,Cañasgordas,ANTIOQUIA,CAÑASGORDAS,MUNICIPIO,364.84018792,364.8401879264918,6.814940709081627,-76.02689748821437,6.0,6.0,6.0,1.0,1.0,5.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05142,Caracolí,ANTIOQUIA,CARACOLÍ,MUNICIPIO,262.58321252,262.5832125130855,6.3379735729975835,-74.73354418160804,2.0,2.0,2.0,1.0,1.0,1.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05145,Caramanta,ANTIOQUIA,CARAMANTA,MUNICIPIO,92.06265409,92.06265409103125,5.555265744295169,-75.63081338398986,8.0,8.0,8.0,1.0,1.0,7.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05147,Carepa,ANTIOQUIA,CAREPA,MUNICIPIO,387.45091238,387.45091243636824,7.789178895770063,-76.6567117757335,37.0,31.0,37.0,17.0,4.0,33.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05148,El Carmen de Viboral,ANTIOQUIA,EL CARMEN DE VIBORAL,MUNICIPIO,409.12697103,409.1269710191902,5.980163349012686,-75.26801947780196,138.0,133.0,138.0,4.0,1.0,137.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05150,Carolina,ANTIOQUIA,CAROLINA,MUNICIPIO,149.51372546,149.5137254549381,6.754820622384784,-75.30590758482363,4.0,4.0,4.0,1.0,1.0,3.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05154,Caucasia,ANTIOQUIA,CAUCASIA,MUNICIPIO,1428.18198662,1428.181986585692,7.867941979831564,-75.0350012949078,138.0,120.0,138.0,34.0,1.0,137.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05172,Chigorodó,ANTIOQUIA,CHIGORODÓ,MUNICIPIO,721.98166552,721.981665622252,7.631668159940854,-76.63965168448212,48.0,41.0,48.0,12.0,1.0,47.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05190,Cisneros,ANTIOQUIA,CISNEROS,MUNICIPIO,46.85696234,46.856962338343486,6.550081158121316,-75.08253157937186,5.0,5.0,5.0,3.0,1.0,4.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05197,Cocorná,ANTIOQUIA,COCORNÁ,MUNICIPIO,257.80939689,257.80939688519567,6.0017597757341345,-75.16033593152301,8.0,8.0,8.0,1.0,1.0,7.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05206,Concepción,ANTIOQUIA,CONCEPCIÓN,MUNICIPIO,201.95259696,201.95259695396078,6.3761055387452625,-75.21786021853883,6.0,6.0,6.0,1.0,1.0,5.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05209,Concordia,ANTIOQUIA,CONCORDIA,MUNICIPIO,247.86635325,247.86635325488314,6.057464554577664,-75.9001475938245,30.0,30.0,30.0,3.0,1.0,29.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05212,Copacabana,ANTIOQUIA,COPACABANA,MUNICIPIO,67.83625809,67.83625808821104,6.351829600047937,-75.50077576565305,137.0,132.0,137.0,10.0,1.0,136.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05234,Dabeiba,ANTIOQUIA,DABEIBA,MUNICIPIO,1957.69910309,1957.6991032265234,6.992222908267447,-76.31436267009086,13.0,13.0,13.0,2.0,1.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05237,Donmatías,ANTIOQUIA,DONMATÍAS,MUNICIPIO,198.04976219,198.04976218692974,6.507140844517788,-75.36378175779416,36.0,34.0,36.0,2.0,1.0,35.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05240,Ebéjico,ANTIOQUIA,EBÉJICO,MUNICIPIO,237.71145109,237.71145109334427,6.326452817516449,-75.78331305813337,5.0,4.0,5.0,2.0,2.0,3.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05250,El Bagre,ANTIOQUIA,EL BAGRE,MUNICIPIO,1558.89049353,1558.8904934861334,7.704591520575299,-74.66427811854548,25.0,22.0,25.0,7.0,3.0,22.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05264,Entrerríos,ANTIOQUIA,ENTRERRÍOS,MUNICIPIO,214.22851874,214.22851873449105,6.594614154452669,-75.55913042924276,26.0,26.0,26.0,3.0,1.0,25.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05266,Envigado,ANTIOQUIA,ENVIGADO,MUNICIPIO,79.51026113,79.51026112515534,6.154003907079026,-75.5465030511229,929.0,849.0,929.0,100.0,7.0,921.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05282,Fredonia,ANTIOQUIA,FREDONIA,MUNICIPIO,254.06982939,254.0698293916684,5.88698379844124,-75.6783105766636,25.0,25.0,25.0,4.0,1.0,24.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
05,Antioquia,05284,Frontino,ANTIOQUIA,FRONTINO,MUNICIPIO,1384.43815979,1384.438159889583,6.691353525050938,-76.33204506925708,24.0,20.0,24.0,5.0,4.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,True,True
