cod_dpto,cod_mpio,departamento_mgn,municipio_mgn,municipio_tipo_mgn,area_km2_mgn_attribute,area_km2_calc,centroid_lat,centroid_lon
05,05001,ANTIOQUIA,MEDELLÍN,MUNICIPIO,374.74148449,374.7414844857945,6.257590449164816,-75.61103932249718
05,05002,ANTIOQUIA,ABEJORRAL,MUNICIPIO,506.95978227,506.95978225803674,5.803723883325457,-75.43848561982225
05,05004,ANTIOQUIA,ABRIAQUÍ,MUNICIPIO,296.97418843,296.97418844393604,6.62756659324941,-76.08597800187653
05,05021,ANTIOQUIA,ALEJANDRÍA,MUNICIPIO,128.85643129,128.8564312828481,6.365533635272281,-75.09060211479547
05,05030,ANTIOQUIA,AMAGÁ,MUNICIPIO,84.1171447,84.1171446963717,6.0329210777343105,-75.70800415198428
05,05031,ANTIOQUIA,AMALFI,MUNICIPIO,1208.3461881,1208.3461880632449,6.977657060120218,-74.98129809484985
05,05034,ANTIOQUIA,ANDES,MUNICIPIO,402.4505988,402.4505988078562,5.623944826398129,-75.92460407614821
05,05036,ANTIOQUIA,ANGELÓPOLIS,MUNICIPIO,81.86176766,81.86176766066194,6.121429291256687,-75.71595116711116
05,05038,ANTIOQUIA,ANGOSTURA,MUNICIPIO,338.36184953,338.36184952657015,6.861454209724957,-75.35834186134296
05,05040,ANTIOQUIA,ANORÍ,MUNICIPIO,1412.95695698,1412.9569569443386,7.193075754328268,-75.10852543178588
05,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,MUNICIPIO,525.55322523,525.5532252409316,6.535703780544026,-75.90427261184455
05,05044,ANTIOQUIA,ANZÁ,MUNICIPIO,255.91052741,255.91052741760544,6.308036388834979,-75.91259614219582
05,05045,ANTIOQUIA,APARTADÓ,MUNICIPIO,535.35135739,535.3513574481755,7.896129148454935,-76.5669816441487
05,05051,ANTIOQUIA,ARBOLETES,MUNICIPIO,754.27645511,754.2764551615558,8.611320966536674,-76.41477813388326
05,05055,ANTIOQUIA,ARGELIA,MUNICIPIO,245.19895072,245.19895071875476,5.7081173267908785,-75.09471015901241
05,05059,ANTIOQUIA,ARMENIA,MUNICIPIO,110.42213658,110.4221365844057,6.163682678243244,-75.80995593301984
05,05079,ANTIOQUIA,BARBOSA,MUNICIPIO,205.55297576,205.55297575243554,6.443421494589512,-75.32923805895442
05,05086,ANTIOQUIA,BELMIRA,MUNICIPIO,295.8587326,295.858732596684,6.653765343156343,-75.65388314869847
05,05088,ANTIOQUIA,BELLO,MUNICIPIO,147.70069491,147.70069490622717,6.358893201753729,-75.58980734272605
05,05091,ANTIOQUIA,BETANIA,MUNICIPIO,180.52530289,180.5253028909099,5.727080759217893,-75.98689804719247
05,05093,ANTIOQUIA,BETULIA,MUNICIPIO,262.36212141,262.3621214102692,6.185782771193611,-75.95649768102417
05,05101,ANTIOQUIA,CIUDAD BOLÍVAR,MUNICIPIO,263.7909105,263.79091050246,5.840843569863297,-76.00937808933121
05,05107,ANTIOQUIA,BRICEÑO,MUNICIPIO,376.24010705,376.2401070465092,7.11178243170278,-75.56224349923332
05,05113,ANTIOQUIA,BURITICÁ,MUNICIPIO,355.2788721,355.27887210061516,6.809021757024714,-75.91206027525706
05,05120,ANTIOQUIA,CÁCERES,MUNICIPIO,1872.78473236,1872.7847323164074,7.66514296058419,-75.22367750235321
05,05125,ANTIOQUIA,CAICEDO,MUNICIPIO,200.13032896,200.1303289622784,6.423464310697152,-75.99351440849279
05,05129,ANTIOQUIA,CALDAS,MUNICIPIO,132.76524588,132.76524587579328,6.054459575004191,-75.62641130411524
05,05134,ANTIOQUIA,CAMPAMENTO,MUNICIPIO,232.0852357,232.08523569623355,7.0354243365453515,-75.2922486237134
05,05138,ANTIOQUIA,CAÑASGORDAS,MUNICIPIO,364.84018792,364.8401879264918,6.814940709081627,-76.02689748821437
05,05142,ANTIOQUIA,CARACOLÍ,MUNICIPIO,262.58321252,262.5832125130855,6.3379735729975835,-74.73354418160804
05,05145,ANTIOQUIA,CARAMANTA,MUNICIPIO,92.06265409,92.06265409103125,5.555265744295169,-75.63081338398986
05,05147,ANTIOQUIA,CAREPA,MUNICIPIO,387.45091238,387.45091243636824,7.789178895770063,-76.6567117757335
05,05148,ANTIOQUIA,EL CARMEN DE VIBORAL,MUNICIPIO,409.12697103,409.1269710191902,5.980163349012686,-75.26801947780196
05,05150,ANTIOQUIA,CAROLINA,MUNICIPIO,149.51372546,149.5137254549381,6.754820622384784,-75.30590758482363
05,05154,ANTIOQUIA,CAUCASIA,MUNICIPIO,1428.18198662,1428.181986585692,7.867941979831564,-75.0350012949078
05,05172,ANTIOQUIA,CHIGORODÓ,MUNICIPIO,721.98166552,721.981665622252,7.631668159940854,-76.63965168448212
05,05190,ANTIOQUIA,CISNEROS,MUNICIPIO,46.85696234,46.856962338343486,6.550081158121316,-75.08253157937186
05,05197,ANTIOQUIA,COCORNÁ,MUNICIPIO,257.80939689,257.80939688519567,6.0017597757341345,-75.16033593152301
05,05206,ANTIOQUIA,CONCEPCIÓN,MUNICIPIO,201.95259696,201.95259695396078,6.3761055387452625,-75.21786021853883
05,05209,ANTIOQUIA,CONCORDIA,MUNICIPIO,247.86635325,247.86635325488314,6.057464554577664,-75.9001475938245
05,05212,ANTIOQUIA,COPACABANA,MUNICIPIO,67.83625809,67.83625808821104,6.351829600047937,-75.50077576565305
05,05234,ANTIOQUIA,DABEIBA,MUNICIPIO,1957.69910309,1957.6991032265234,6.992222908267447,-76.31436267009086
05,05237,ANTIOQUIA,DONMATÍAS,MUNICIPIO,198.04976219,198.04976218692974,6.507140844517788,-75.36378175779416
05,05240,ANTIOQUIA,EBÉJICO,MUNICIPIO,237.71145109,237.71145109334427,6.326452817516449,-75.78331305813337
05,05250,ANTIOQUIA,EL BAGRE,MUNICIPIO,1558.89049353,1558.8904934861334,7.704591520575299,-74.66427811854548
05,05264,ANTIOQUIA,ENTRERRÍOS,MUNICIPIO,214.22851874,214.22851873449105,6.594614154452669,-75.55913042924276
05,05266,ANTIOQUIA,ENVIGADO,MUNICIPIO,79.51026113,79.51026112515534,6.154003907079026,-75.5465030511229
05,05282,ANTIOQUIA,FREDONIA,MUNICIPIO,254.06982939,254.0698293916684,5.88698379844124,-75.6783105766636
05,05284,ANTIOQUIA,FRONTINO,MUNICIPIO,1384.43815979,1384.438159889583,6.691353525050938,-76.33204506925708
05,05306,ANTIOQUIA,GIRALDO,MUNICIPIO,93.42241949,93.4224194962282,6.663084607132526,-75.94807861484719
05,05308,ANTIOQUIA,GIRARDOTA,MUNICIPIO,82.82978908,82.82978907865134,6.379752999841814,-75.44794124374837
05,05310,ANTIOQUIA,GÓMEZ PLATA,MUNICIPIO,332.03117214,332.0311721315016,6.709556695537852,-75.19270566888501
05,05313,ANTIOQUIA,GRANADA,MUNICIPIO,190.11818463,190.118184623989,6.123379481937686,-75.12763628050936
05,05315,ANTIOQUIA,GUADALUPE,MUNICIPIO,118.14868986,118.14868985807509,6.861573026320336,-75.22591614856742
05,05318,ANTIOQUIA,GUARNE,MUNICIPIO,151.78828269,151.78828269222743,6.266617059220892,-75.43731832220195
05,05321,ANTIOQUIA,GUATAPÉ,MUNICIPIO,83.28168694,83.28168694244782,6.245772909603673,-75.15851960496387
05,05347,ANTIOQUIA,HELICONIA,MUNICIPIO,114.8668411,114.86684109524994,6.214525946860518,-75.74972264701165
05,05353,ANTIOQUIA,HISPANIA,MUNICIPIO,54.17935855,54.17935855357003,5.795062479429421,-75.90651125810739
05,05360,ANTIOQUIA,ITAGÜÍ,MUNICIPIO,19.64475366,19.64475366296853,6.179279232315031,-75.6142043121819
05,05361,ANTIOQUIA,ITUANGO,MUNICIPIO,2840.84087614,2840.840876174324,7.302956921507255,-75.85048418660388
05,05364,ANTIOQUIA,JARDÍN,MUNICIPIO,201.17752401,201.17752401269624,5.5744527192251825,-75.81843760119648
05,05368,ANTIOQUIA,JERICÓ,MUNICIPIO,204.97123284,204.97123283978257,5.769816302301131,-75.76488764371719
05,05376,ANTIOQUIA,LA CEJA,MUNICIPIO,132.66672321,132.6667232081344,5.992521286733039,-75.43087260819676
05,05380,ANTIOQUIA,LA ESTRELLA,MUNICIPIO,36.79265231,36.792652314563625,6.137606546465093,-75.64886805280655
05,05390,ANTIOQUIA,LA PINTADA,MUNICIPIO,54.28273395,54.2827339503641,5.74658185525879,-75.6022022595376
05,05400,ANTIOQUIA,LA UNIÓN,MUNICIPIO,167.67033763,167.67033763046143,5.940433950408531,-75.35429035049142
05,05411,ANTIOQUIA,LIBORINA,MUNICIPIO,216.38676218,216.38676218447338,6.7239899447790314,-75.78300239577506
