cod_mpio,year,hansen_sedes_all_hl60,hansen_sedes_all_hl120,e2sfca_sedes_all_120min,e2sfca_sedes_all_180min,hansen_sedes_ips_hl60,hansen_sedes_ips_hl120,e2sfca_sedes_ips_120min,e2sfca_sedes_ips_180min
05001,2021,12415.884191095402,14077.651956177731,0.003403727944902256,0.0034409045210312744,1509.2307449949556,1743.757230117834,0.00041091122782498405,0.0004183799199809328
05001,2022,12415.884191095402,14077.651956177731,0.0033754110724590713,0.0034125243355190423,1509.2307449949556,1743.757230117834,0.00040750889711580124,0.0004149424079762078
05001,2023,12415.884191095402,14077.651956177731,0.003351725789056478,0.003388821546051805,1509.2307449949556,1743.757230117834,0.00040466549219071057,0.0004120731941778465
05001,2024,12415.884191095402,14077.651956177731,0.0033252561143804972,0.0033622182269895605,1509.2307449949556,1743.757230117834,0.00040148337552912993,0.0004088489004291765
05001,2025,12415.884191095402,14077.651956177731,0.0033026112962770285,0.0033395370074530235,1509.2307449949556,1743.757230117834,0.00039876445623872585,0.00040610336969476563
05002,2021,5594.891065290358,10239.816579538718,0.0013248018147526048,0.0013473051932097412,708.8323846341981,1344.973091688629,0.00015640301274080876,0.00018146265117641083
05002,2022,5594.891065290358,10239.816579538718,0.001314095268185236,0.0013362881941866404,708.8323846341981,1344.973091688629,0.0001552071948950169,0.00018007215644534835
05002,2023,5594.891065290358,10239.816579538718,0.0013053420540724513,0.0013273141310344353,708.8323846341981,1344.973091688629,0.0001542435626928392,0.00017896836886384737
05002,2024,5594.891065290358,10239.816579538718,0.001295396295835781,0.0013170469502062705,708.8323846341981,1344.973091688629,0.00015312592660391108,0.00017766513267444356
05002,2025,5594.891065290358,10239.816579538718,0.0012868922680774214,0.0013082671478725314,708.8323846341981,1344.973091688629,0.0001521832169096607,0.00017656720645522052
05004,2021,3303.157976108534,7211.062228709079,0.0006468687458135924,0.0006284285030392279,418.82380374679525,922.243802167016,0.0001099764129798883,0.00010100346887843931
05004,2022,3303.157976108534,7211.062228709079,0.0006421746376829041,0.0006229661129703253,418.82380374679525,922.243802167016,0.00010915130114581744,0.00010008620530966177
05004,2023,3303.157976108534,7211.062228709079,0.0006381796770371955,0.0006182917971422702,418.82380374679525,922.243802167016,0.00010844945174016928,9.929034952733979e-05
05004,2024,3303.157976108534,7211.062228709079,0.0006324041850851723,0.0006117870650220517,418.82380374679525,922.243802167016,0.00010742661733976478,9.815935161817522e-05
05004,2025,3303.157976108534,7211.062228709079,0.000628656557077025,0.0006073773909200456,418.82380374679525,922.243802167016,0.00010678061398464419,9.741105182447544e-05
05021,2021,4544.005647331088,8548.732633198979,0.0011868171457223439,0.0011787828225963775,556.1848599092774,1056.3011202982823,0.00016782777980620678,0.000154321496607571
05021,2022,4544.005647331088,8548.732633198979,0.001175596217666564,0.0011684212467728667,556.1848599092774,1056.3011202982823,0.00016619765205418667,0.00015300676500485866
05021,2023,4544.005647331088,8548.732633198979,0.0011659482190557124,0.0011596021698074058,556.1848599092774,1056.3011202982823,0.0001647847952386328,0.00015189110441419298
