cod_dpto,departamento,cod_mpio,municipio,year,population_total,sivigila_intento_confirmados_per_100k,ipm_total_pct,need_proxy_z,brecha_proxy_z,hansen_sedes_all_hl60,hansen_sedes_all_hl120,e2sfca_sedes_all_120min,e2sfca_sedes_all_180min,hansen_sedes_ips_hl60,hansen_sedes_ips_hl120,e2sfca_sedes_ips_120min,e2sfca_sedes_ips_180min,z_hansen_sedes_all_hl60,z_hansen_sedes_ips_hl60,z_e2sfca_sedes_all_120min,z_e2sfca_sedes_ips_120min,z_e2sfca_sedes_all_180min,z_e2sfca_sedes_ips_180min,access_spatial_z,brecha_spatial_z,routing_mode,supply_definition_main
05,Antioquia,05001,Medellín,2021,2507620,87.81234796340753,14.3,0.3068134934902399,-2.0650288515297395,12415.884191095402,14077.651956177731,0.003403727944902256,0.0034409045210312744,1509.2307449949556,1743.757230117834,0.00041091122782498405,0.0004183799199809328,4.442234783748576,2.9011899899239495,4.379590809088937,0.4314477820488713,4.867843421253655,0.6794112945452888,4.379590809088937,-4.072777315598697,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05001,Medellín,2022,2514709,102.11917164172873,10.7,0.2421980952018138,-2.162069625399053,12415.884191095402,14077.651956177731,0.0033754110724590713,0.0034125243355190423,1509.2307449949556,1743.757230117834,0.00040750889711580124,0.0004149424079762078,4.442234783748576,2.9011899899239495,4.377362489225861,0.434656778329654,4.86355769934682,0.6853933135852047,4.377362489225861,-4.135164394024048,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05001,Medellín,2023,2518480,114.55322257869824,9.5,0.2738285519576317,-2.160886853257484,12415.884191095402,14077.651956177731,0.003351725789056478,0.003388821546051805,1509.2307449949556,1743.757230117834,0.00040466549219071057,0.0004120731941778465,4.442234783748576,2.9011899899239495,4.371569477370108,0.4362147273106021,4.8585870368866875,0.6919294685553105,4.371569477370108,-4.097740925412476,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05001,Medellín,2024,2524747,111.33788850922488,10.9,0.4826169183533658,-1.980916117514856,12415.884191095402,14077.651956177731,0.0033252561143804972,0.0033622182269895605,1509.2307449949556,1743.757230117834,0.00040148337552912993,0.0004088489004291765,4.442234783748576,2.9011899899239495,4.367970431344897,0.4371974597236679,4.854505185851817,0.695913041802362,4.367970431344897,-3.8853535129915313,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05001,Medellín,2025,2528343,,9.5,,,12415.884191095402,14077.651956177731,0.0033026112962770285,0.0033395370074530235,1509.2307449949556,1743.757230117834,0.00039876445623872585,0.00040610336969476563,4.442234783748576,2.9011899899239495,4.367899339959146,0.4417685490963067,4.8496470364933355,0.7001745646038214,4.367899339959146,,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05002,Abejorral,2021,20962,95.41074324968992,14.3,0.4094946988251996,0.5073493996811494,5594.891065290358,10239.816579538718,0.0013248018147526048,0.0013473051932097412,708.8323846341981,1344.973091688629,0.00015640301274080876,0.00018146265117641083,1.5423928003191854,0.75983365204406,0.6926441202387597,-0.6660228607364895,0.8059843486641788,-0.6951924340554637,0.6926441202387597,-0.28314942141356003,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05002,Abejorral,2022,21000,180.9523809523809,10.7,1.148725776542392,1.2393842486608604,5594.891065290358,10239.816579538718,0.001314095268185236,0.0013362881941866404,708.8323846341981,1344.973091688629,0.0001552071948950169,0.00018007215644534835,1.5423928003191854,0.75983365204406,0.6946452476780692,-0.6640513211940361,0.807323096464863,-0.6934162008343072,0.6946452476780692,0.4540805288643227,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05002,Abejorral,2023,21030,294.8169281978127,9.5,2.2166635547314537,2.3009147245761814,5594.891065290358,10239.816579538718,0.0013053420540724513,0.0013273141310344353,708.8323846341981,1344.973091688629,0.0001542435626928392,0.00017896836886384737,1.5423928003191854,0.75983365204406,0.6964640711736687,-0.659139739669656,0.8091510985080334,-0.6910851160076369,0.6964640711736687,1.520199483557785,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05002,Abejorral,2024,21121,265.1389612234269,10.9,2.3228800251529105,2.402478218560018,5594.891065290358,10239.816579538718,0.001295396295835781,0.0013170469502062705,708.8323846341981,1344.973091688629,0.00015312592660391108,0.00017766513267444356,1.5423928003191854,0.75983365204406,0.6979571078168942,-0.6559873223963273,0.8102237547110609,-0.6894025102031316,0.6979571078168942,1.6249229173360162,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
05,Antioquia,05002,Abejorral,2025,21147,,9.5,,,5594.891065290358,10239.816579538718,0.0012868922680774214,0.0013082671478725314,708.8323846341981,1344.973091688629,0.0001521832169096607,0.00017656720645522052,1.5423928003191854,0.75983365204406,0.7000955574462409,-0.6565174765716184,0.8111717628627343,-0.6868824137806294,0.7000955574462409,,great_circle_detour_proxy,REPS all enabled sites assigned to DANE/MGN municipal centroids
