cod_dpto,departamento,cod_mpio,municipio,population_total,need_proxy_z,access_spatial_z,brecha_spatial_z,baseline_e2sfca_recomputed,baseline_access_z_recomputed,baseline_gap_recomputed,baseline_top_decile,regional_hub,distributed_outreach_e2sfca,distributed_outreach_access_z,distributed_outreach_gap_z,distributed_outreach_access_gain_z,distributed_outreach_gap_reduction_z,regional_hubs_e2sfca,regional_hubs_access_z,regional_hubs_gap_z,regional_hubs_access_gain_z,regional_hubs_gap_reduction_z,connectivity_relief_e2sfca,connectivity_relief_access_z,connectivity_relief_gap_z,connectivity_relief_access_gain_z,connectivity_relief_gap_reduction_z,combined_e2sfca,combined_access_z,combined_gap_z,combined_access_gain_z,combined_gap_reduction_z
05,Antioquia,05001,Medellín,2524747,0.4826169183533658,4.367970431344897,-3.8853535129915313,0.0033252561143804972,4.3679704313449,-3.885353512991534,False,False,0.0033261833001864763,4.369646795510662,-3.887029877157296,0.001676364165762223,0.001676364165762223,0.0033252561143804972,4.3679704313449,-3.885353512991534,0.0,0.0,0.003324536935238463,4.366670145970927,-3.884053227617561,-0.0013002853739729758,-0.0013002853739729758,0.003325464121044442,4.368346510136689,-3.8857295917833232,0.0003760787917892472,0.0003760787917892472
05,Antioquia,05002,Abejorral,21121,2.3228800251529105,0.6979571078168942,1.6249229173360162,0.001295396295835781,0.6979571078168946,1.6249229173360158,True,False,0.0012996107767720485,0.7055769449339943,1.6173030802189161,0.0076198371170996815,0.0076198371170996815,0.001295396295835781,0.6979571078168946,1.6249229173360158,0.0,0.0,0.001390572722527312,0.8700373425466654,1.452842682606245,0.17208023472977085,0.17208023472977074,0.0013947872034635795,0.8776571796637653,1.4452228454891451,0.17970007184687076,0.17970007184687065
05,Antioquia,05004,Abriaquí,2810,0.002051817258757,-0.5007413725506488,0.5027931898094058,0.0006324041850851723,-0.5007413725506491,0.5027931898094061,False,False,0.0006458573904172535,-0.4764177998773923,0.47846961713614933,0.0243235726732568,0.0243235726732568,0.0006324041850851723,-0.5007413725506491,0.5027931898094061,0.0,0.0,0.0006235653443721999,-0.5167221131342067,0.5187739303929637,-0.015980740583557584,-0.015980740583557584,0.0006368118285434459,-0.4927722950461628,0.49482411230491985,0.007969077504486277,0.007969077504486277
05,Antioquia,05021,Alejandría,5196,-0.3890101023015225,0.4447882359460878,-0.8337983382476103,0.0011553702863871741,0.4447882359460881,-0.8337983382476106,False,False,0.0011553702863871741,0.4447882359460881,-0.8337983382476106,0.0,0.0,0.0011553702863871741,0.4447882359460881,-0.8337983382476106,0.0,0.0,0.0011551701912480546,0.444426461295527,-0.8334365635970495,-0.0003617746505610864,-0.0003617746505610864,0.0011551701912480546,0.444426461295527,-0.8334365635970495,-0.0003617746505610864,-0.0003617746505610864
05,Antioquia,05030,Amagá,32595,-0.4824775258514398,2.766680990111605,-3.249158515963045,0.002439593636323126,2.766680990111607,-3.249158515963047,False,False,0.002447559045568897,2.781082555082872,-3.263560080934312,0.014401564971265213,0.014401564971265213,0.002439593636323126,2.766680990111607,-3.249158515963047,0.0,0.0,0.002436961509441207,2.761922069994264,-3.244399595845704,-0.004758920117343024,-0.004758920117343024,0.0024445058105482544,2.7755622658967676,-3.2580397917482076,0.008881275785160625,0.008881275785160625
05,Antioquia,05031,Amalfi,28716,-0.1412188632151213,-0.1808688904714887,0.0396500272563674,0.0008093235151235929,-0.18086889047148888,0.03965002725636757,False,False,0.0008093235151235929,-0.18086889047148888,0.03965002725636757,0.0,0.0,0.0008093235151235929,-0.18086889047148888,0.03965002725636757,0.0,0.0,0.00080877107769861,-0.18186770462189467,0.040648841406773356,-0.0009988141504057857,-0.0009988141504057857,0.00080877107769861,-0.18186770462189467,0.040648841406773356,-0.0009988141504057857,-0.0009988141504057857
05,Antioquia,05034,Andes,45212,-0.2938064814609328,-0.2072970639786068,-0.0865094174823259,0.0007947062691491131,-0.20729706397860695,-0.08650941748232585,False,False,0.0008197235209762692,-0.1620655427253102,-0.1317409387356226,0.04523152125329674,0.04523152125329674,0.0007947062691491131,-0.20729706397860695,-0.08650941748232585,0.0,0.0,0.0007833459421661491,-0.22783668499391607,-0.06596979646701673,-0.020539621015309123,-0.020539621015309123,0.0008073006381647314,-0.18452627869261345,-0.10928020276831935,0.022770785285993494,0.022770785285993494
05,Antioquia,05036,Angelópolis,6149,-0.0712129897205789,2.8207791637663617,-2.8919921534869406,0.0024695149742797093,2.8207791637663635,-2.8919921534869424,False,False,0.0024704421600856884,2.8224555279321257,-2.8936685176527046,0.001676364165762223,0.001676364165762223,0.0024695149742797093,2.8207791637663635,-2.8919921534869424,0.0,0.0,0.002467149710303637,2.816502735302417,-2.887715725022996,-0.004276428463946491,-0.004276428463946491,0.002468076896109616,2.818179099468179,-2.8893920891887577,-0.002600064298184712,-0.002600064298184712
05,Antioquia,05038,Angostura,12413,-0.1748166402935783,-0.2631069122223538,0.0882902719287754,0.0007638382154276738,-0.2631069122223539,0.08829027192877559,False,False,0.0007772914207597551,-0.2387833395490971,0.06396669925551882,0.02432357267325677,0.02432357267325677,0.0007638382154276738,-0.2631069122223539,0.08829027192877559,0.0,0.0,0.0007628358157817844,-0.26491926400266136,0.09010262370908306,-0.0018123517803074751,-0.0018123517803074751,0.0007760822999530304,-0.24096944591461747,0.06615280562103917,0.022137466307736414,0.022137466307736414
05,Antioquia,05040,Anorí,20688,-0.7338919916794339,-0.462002409459703,-0.2718895822197308,0.0006538304464249556,-0.4620024094597033,-0.2718895822197306,False,False,0.0006538304464249556,-0.4620024094597033,-0.2718895822197306,0.0,0.0,0.0006538304464249556,-0.4620024094597033,-0.2718895822197306,0.0,0.0,0.0006522921333519923,-0.4647836997842638,-0.26910829189517005,-0.002781290324560537,-0.002781290324560537,0.0006522921333519923,-0.4647836997842638,-0.26910829189517005,-0.002781290324560537,-0.002781290324560537
