scenario_id,label,supply_units_added_total,municipalities_with_added_supply,effective_time_multiplier_for_baseline_top_decile,mean_access_gain_top_decile_z,median_access_gain_top_decile_z,mean_gap_reduction_top_decile_z,median_gap_reduction_top_decile_z,baseline_top_decile_moved_below_baseline_p90,baseline_top_decile_n,mean_gap_all_z,mean_gap_top_decile_z,max_gap_z,p90_gap_z
distributed_outreach,Distributed outreach,565.0,113,,0.7783541000197317,0.22782531286212193,0.7783541000197317,0.22782531286212193,45,113,-0.09860376632838568,1.0729973674756703,4.268939105135182,1.1235907634074123
regional_hubs,Regional service hubs,360.0,12,,0.329016506563401,0.0,0.329016506563401,0.0,10,113,-0.05371909529458109,1.5223349609320012,4.355542218077206,1.2330426523063232
connectivity_relief,Effective impedance relief,0.0,0,0.9,0.13893341517222196,0.05763917909616767,0.13893341517222196,0.05763917909616767,18,113,-0.009047837386740283,1.7124180523231798,4.811747226639661,1.2358177395354786
combined,Combined scenario,925.0,113,0.9,1.2498940715839009,0.5518493065835406,1.2498940715839009,0.5518493065835406,72,113,-0.1576831973936426,0.6014573959115009,4.268939105135182,1.0616299701658527
