cod_dpto,departamento,cod_mpio,municipio,year,area_geografica,population
05,Antioquia,05030,Amagá,2023,Centros Poblados y Rural Disperso,16485
05,Antioquia,05030,Amagá,2023,Total,32238
05,Antioquia,05030,Amagá,2024,Cabecera Municipal,15881
05,Antioquia,05030,Amagá,2024,Centros Poblados y Rural Disperso,16714
05,Antioquia,05030,Amagá,2024,Total,32595
05,Antioquia,05030,Amagá,2025,Cabecera Municipal,16131
05,Antioquia,05030,Amagá,2025,Centros Poblados y Rural Disperso,16727
05,Antioquia,05030,Amagá,2025,Total,32858
05,Antioquia,05031,Amalfi,2019,Cabecera Municipal,14901
05,Antioquia,05031,Amalfi,2019,Centros Poblados y Rural Disperso,11600
05,Antioquia,05031,Amalfi,2019,Total,26501
05,Antioquia,05031,Amalfi,2020,Cabecera Municipal,15303
05,Antioquia,05031,Amalfi,2020,Centros Poblados y Rural Disperso,11763
05,Antioquia,05031,Amalfi,2020,Total,27066
05,Antioquia,05031,Amalfi,2021,Cabecera Municipal,15654
05,Antioquia,05031,Amalfi,2021,Centros Poblados y Rural Disperso,11862
05,Antioquia,05031,Amalfi,2021,Total,27516
05,Antioquia,05031,Amalfi,2022,Cabecera Municipal,15972
05,Antioquia,05031,Amalfi,2022,Centros Poblados y Rural Disperso,11951
05,Antioquia,05031,Amalfi,2022,Total,27923
05,Antioquia,05031,Amalfi,2023,Cabecera Municipal,16306
05,Antioquia,05031,Amalfi,2023,Centros Poblados y Rural Disperso,12028
05,Antioquia,05031,Amalfi,2023,Total,28334
05,Antioquia,05031,Amalfi,2024,Cabecera Municipal,16464
05,Antioquia,05031,Amalfi,2024,Centros Poblados y Rural Disperso,12252
05,Antioquia,05031,Amalfi,2024,Total,28716
05,Antioquia,05031,Amalfi,2025,Cabecera Municipal,16747
05,Antioquia,05031,Amalfi,2025,Centros Poblados y Rural Disperso,12307
05,Antioquia,05031,Amalfi,2025,Total,29054
05,Antioquia,05034,Andes,2019,Cabecera Municipal,20647
05,Antioquia,05034,Andes,2019,Centros Poblados y Rural Disperso,23112
05,Antioquia,05034,Andes,2019,Total,43759
05,Antioquia,05034,Andes,2020,Cabecera Municipal,21090
05,Antioquia,05034,Andes,2020,Centros Poblados y Rural Disperso,23235
05,Antioquia,05034,Andes,2020,Total,44325
05,Antioquia,05034,Andes,2021,Cabecera Municipal,21400
05,Antioquia,05034,Andes,2021,Centros Poblados y Rural Disperso,23221
05,Antioquia,05034,Andes,2021,Total,44621
05,Antioquia,05034,Andes,2022,Cabecera Municipal,21662
05,Antioquia,05034,Andes,2022,Centros Poblados y Rural Disperso,23154
05,Antioquia,05034,Andes,2022,Total,44816
05,Antioquia,05034,Andes,2023,Cabecera Municipal,21906
05,Antioquia,05034,Andes,2023,Centros Poblados y Rural Disperso,23070
05,Antioquia,05034,Andes,2023,Total,44976
05,Antioquia,05034,Andes,2024,Cabecera Municipal,21958
05,Antioquia,05034,Andes,2024,Centros Poblados y Rural Disperso,23254
05,Antioquia,05034,Andes,2024,Total,45212
05,Antioquia,05034,Andes,2025,Cabecera Municipal,22197
05,Antioquia,05034,Andes,2025,Centros Poblados y Rural Disperso,23170
05,Antioquia,05034,Andes,2025,Total,45367
05,Antioquia,05036,Angelópolis,2019,Cabecera Municipal,2243
05,Antioquia,05036,Angelópolis,2019,Centros Poblados y Rural Disperso,3603
05,Antioquia,05036,Angelópolis,2019,Total,5846
05,Antioquia,05036,Angelópolis,2020,Cabecera Municipal,2318
05,Antioquia,05036,Angelópolis,2020,Centros Poblados y Rural Disperso,3626
05,Antioquia,05036,Angelópolis,2020,Total,5944
05,Antioquia,05036,Angelópolis,2021,Cabecera Municipal,2367
05,Antioquia,05036,Angelópolis,2021,Centros Poblados y Rural Disperso,3632
05,Antioquia,05036,Angelópolis,2021,Total,5999
05,Antioquia,05036,Angelópolis,2022,Cabecera Municipal,2405
05,Antioquia,05036,Angelópolis,2022,Centros Poblados y Rural Disperso,3630
05,Antioquia,05036,Angelópolis,2022,Total,6035
05,Antioquia,05036,Angelópolis,2023,Cabecera Municipal,2465
05,Antioquia,05036,Angelópolis,2023,Centros Poblados y Rural Disperso,3631
05,Antioquia,05036,Angelópolis,2023,Total,6096
05,Antioquia,05036,Angelópolis,2024,Cabecera Municipal,2468
05,Antioquia,05036,Angelópolis,2024,Centros Poblados y Rural Disperso,3681
05,Antioquia,05036,Angelópolis,2024,Total,6149
05,Antioquia,05036,Angelópolis,2025,Cabecera Municipal,2530
05,Antioquia,05036,Angelópolis,2025,Centros Poblados y Rural Disperso,3673
05,Antioquia,05036,Angelópolis,2025,Total,6203
05,Antioquia,05038,Angostura,2019,Cabecera Municipal,2713
05,Antioquia,05038,Angostura,2019,Centros Poblados y Rural Disperso,8974
05,Antioquia,05038,Angostura,2019,Total,11687
05,Antioquia,05038,Angostura,2020,Cabecera Municipal,2796
05,Antioquia,05038,Angostura,2020,Centros Poblados y Rural Disperso,9154
05,Antioquia,05038,Angostura,2020,Total,11950
05,Antioquia,05038,Angostura,2021,Cabecera Municipal,2874
05,Antioquia,05038,Angostura,2021,Centros Poblados y Rural Disperso,9190
05,Antioquia,05038,Angostura,2021,Total,12064
05,Antioquia,05038,Angostura,2022,Cabecera Municipal,2937
05,Antioquia,05038,Angostura,2022,Centros Poblados y Rural Disperso,9216
05,Antioquia,05038,Angostura,2022,Total,12153
05,Antioquia,05038,Angostura,2023,Cabecera Municipal,3021
05,Antioquia,05038,Angostura,2023,Centros Poblados y Rural Disperso,9235
05,Antioquia,05038,Angostura,2023,Total,12256
05,Antioquia,05038,Angostura,2024,Cabecera Municipal,3058
05,Antioquia,05038,Angostura,2024,Centros Poblados y Rural Disperso,9355
05,Antioquia,05038,Angostura,2024,Total,12413
05,Antioquia,05038,Angostura,2025,Cabecera Municipal,3144
05,Antioquia,05038,Angostura,2025,Centros Poblados y Rural Disperso,9367
05,Antioquia,05038,Angostura,2025,Total,12511
05,Antioquia,05040,Anorí,2019,Cabecera Municipal,7941
05,Antioquia,05040,Anorí,2019,Centros Poblados y Rural Disperso,10860
05,Antioquia,05040,Anorí,2019,Total,18801
05,Antioquia,05040,Anorí,2020,Cabecera Municipal,8254
05,Antioquia,05040,Anorí,2020,Centros Poblados y Rural Disperso,11041
05,Antioquia,05040,Anorí,2020,Total,19295
05,Antioquia,05040,Anorí,2021,Cabecera Municipal,8488
05,Antioquia,05040,Anorí,2021,Centros Poblados y Rural Disperso,11174
05,Antioquia,05040,Anorí,2021,Total,19662
05,Antioquia,05040,Anorí,2022,Cabecera Municipal,8721
05,Antioquia,05040,Anorí,2022,Centros Poblados y Rural Disperso,11286
05,Antioquia,05040,Anorí,2022,Total,20007
05,Antioquia,05040,Anorí,2023,Cabecera Municipal,8935
05,Antioquia,05040,Anorí,2023,Centros Poblados y Rural Disperso,11385
05,Antioquia,05040,Anorí,2023,Total,20320
05,Antioquia,05040,Anorí,2024,Cabecera Municipal,9076
05,Antioquia,05040,Anorí,2024,Centros Poblados y Rural Disperso,11612
05,Antioquia,05040,Anorí,2024,Total,20688
05,Antioquia,05040,Anorí,2025,Cabecera Municipal,9307
05,Antioquia,05040,Anorí,2025,Centros Poblados y Rural Disperso,11728
05,Antioquia,05040,Anorí,2025,Total,21035
05,Antioquia,05042,Santafé de Antioquia,2019,Cabecera Municipal,16724
05,Antioquia,05042,Santafé de Antioquia,2019,Centros Poblados y Rural Disperso,9796
05,Antioquia,05042,Santafé de Antioquia,2019,Total,26520
05,Antioquia,05042,Santafé de Antioquia,2020,Cabecera Municipal,17135
05,Antioquia,05042,Santafé de Antioquia,2020,Centros Poblados y Rural Disperso,9770
05,Antioquia,05042,Santafé de Antioquia,2020,Total,26905
05,Antioquia,05042,Santafé de Antioquia,2021,Cabecera Municipal,17453
05,Antioquia,05042,Santafé de Antioquia,2021,Centros Poblados y Rural Disperso,9822
05,Antioquia,05042,Santafé de Antioquia,2021,Total,27275
05,Antioquia,05042,Santafé de Antioquia,2022,Cabecera Municipal,17739
05,Antioquia,05042,Santafé de Antioquia,2022,Centros Poblados y Rural Disperso,9843
05,Antioquia,05042,Santafé de Antioquia,2022,Total,27582
05,Antioquia,05042,Santafé de Antioquia,2023,Cabecera Municipal,18024
05,Antioquia,05042,Santafé de Antioquia,2023,Centros Poblados y Rural Disperso,9858
05,Antioquia,05042,Santafé de Antioquia,2023,Total,27882
05,Antioquia,05042,Santafé de Antioquia,2024,Cabecera Municipal,18137
05,Antioquia,05042,Santafé de Antioquia,2024,Centros Poblados y Rural Disperso,9993
05,Antioquia,05042,Santafé de Antioquia,2024,Total,28130
05,Antioquia,05042,Santafé de Antioquia,2025,Cabecera Municipal,18411
05,Antioquia,05042,Santafé de Antioquia,2025,Centros Poblados y Rural Disperso,10010
05,Antioquia,05042,Santafé de Antioquia,2025,Total,28421
05,Antioquia,05044,Anzá,2019,Cabecera Municipal,1312
05,Antioquia,05044,Anzá,2019,Centros Poblados y Rural Disperso,5850
05,Antioquia,05044,Anzá,2019,Total,7162
05,Antioquia,05044,Anzá,2020,Cabecera Municipal,1388
05,Antioquia,05044,Anzá,2020,Centros Poblados y Rural Disperso,5952
05,Antioquia,05044,Anzá,2020,Total,7340
