cod_mpio,year,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct
00001,2019,474774,1293,378,4
00001,2020,599942,1450,380,4
00001,2021,404547,1192,358,4
