year,codigo_localidad,localidad_residencia,saludata_conducta_total,saludata_intento_suicidio,saludata_ideacion_suicida
2019,11,Suba,1166,311,855
2019,12,Barrios Unidos,166,43,123
2019,13,Teusaquillo,226,52,174
2019,14,Los Mártires,204,65,139
2019,15,Antonio Nariño,182,57,125
2019,16,Puente Aranda,537,137,400
2019,17,La Candelaria,61,18,43
2019,18,Rafael Uribe Uribe,814,242,572
2019,19,Ciudad Bolívar,1688,455,1233
2019,20,Sumapaz,29,3,26
2020,1,Usaquén,643,177,466
2020,2,Chapinero,194,55,139
2020,3,Santa Fe,250,79,171
2020,4,San Cristóbal,758,279,479
2020,5,Usme,902,296,606
2020,6,Tunjuelito,482,144,338
2020,7,Bosa,1657,396,1261
2020,8,Kennedy,2151,551,1600
2020,9,Fontibón,820,220,600
2020,10,Engativá,1192,332,860
2020,11,Suba,1706,484,1222
2020,12,Barrios Unidos,198,52,146
2020,13,Teusaquillo,297,67,230
2020,14,Los Mártires,201,56,145
2020,15,Antonio Nariño,174,58,116
2020,16,Puente Aranda,547,152,395
2020,17,La Candelaria,63,25,38
2020,18,Rafael Uribe Uribe,694,226,468
2020,19,Ciudad Bolívar,1296,360,936
2020,20,Sumapaz,15,2,13
2021,1,Usaquén,1276,460,816
2021,2,Chapinero,349,128,221
2021,3,Santa Fe,340,115,225
2021,4,San Cristóbal,1092,318,774
2021,5,Usme,1102,312,790
2021,6,Tunjuelito,612,174,438
2021,7,Bosa,2209,524,1685
2021,8,Kennedy,2953,675,2278
2021,9,Fontibón,1111,235,876
2021,10,Engativá,2075,608,1467
2021,11,Suba,3047,979,2068
2021,12,Barrios Unidos,355,105,250
2021,13,Teusaquillo,557,158,399
2021,14,Los Mártires,273,77,196
2021,15,Antonio Nariño,257,64,193
2021,16,Puente Aranda,718,206,512
2021,17,La Candelaria,69,26,43
2021,18,Rafael Uribe Uribe,1028,299,729
2021,19,Ciudad Bolívar,1921,608,1313
2021,20,Sumapaz,14,3,11
2022,1,Usaquén,1916,591,1325
2022,2,Chapinero,619,178,441
2022,3,Santa Fe,716,168,548
2022,4,San Cristóbal,1851,472,1379
2022,5,Usme,1727,435,1292
2022,6,Tunjuelito,794,206,588
2022,7,Bosa,3431,784,2647
2022,8,Kennedy,4492,1010,3482
2022,9,Fontibón,1600,323,1277
2022,10,Engativá,3263,843,2420
2022,11,Suba,4480,1304,3176
2022,12,Barrios Unidos,646,183,463
2022,13,Teusaquillo,752,210,542
2022,14,Los Mártires,452,106,346
2022,15,Antonio Nariño,406,98,308
2022,16,Puente Aranda,1112,226,886
2022,17,La Candelaria,151,35,116
2022,18,Rafael Uribe Uribe,1640,417,1223
2022,19,Ciudad Bolívar,2891,743,2148
2022,20,Sumapaz,8,0,8
2023,1,Usaquén,1854,479,1375
2023,2,Chapinero,622,180,442
2023,3,Santa Fe,653,163,490
2023,4,San Cristóbal,1922,466,1456
2023,5,Usme,2200,476,1724
2023,6,Tunjuelito,956,205,751
2023,7,Bosa,3682,709,2973
2023,8,Kennedy,5049,1015,4034
2023,9,Fontibón,1615,276,1339
2023,10,Engativá,3633,919,2714
2023,11,Suba,4905,1260,3645
2023,12,Barrios Unidos,720,187,533
2023,13,Teusaquillo,926,238,688
2023,14,Los Mártires,504,135,369
2023,15,Antonio Nariño,397,83,314
2023,16,Puente Aranda,1178,220,958
2023,17,La Candelaria,157,30,127
2023,18,Rafael Uribe Uribe,1778,429,1349
2023,19,Ciudad Bolívar,3470,737,2733
2023,20,Sumapaz,18,1,17
2024,1,Usaquén,2164,513,1651
2024,2,Chapinero,794,192,602
2024,3,Santa Fe,693,169,524
2024,4,San Cristóbal,1998,409,1589
2024,5,Usme,2069,486,1583
2024,6,Tunjuelito,882,165,717
2024,7,Bosa,4018,850,3168
2024,8,Kennedy,5428,1081,4347
2024,9,Fontibón,1753,274,1479
2024,10,Engativá,3984,976,3008
2024,11,Suba,5559,1383,4176
2024,12,Barrios Unidos,831,215,616
2024,13,Teusaquillo,1009,267,742
2024,14,Los Mártires,509,118,391
2024,15,Antonio Nariño,405,85,320
2024,16,Puente Aranda,1374,246,1128
2024,17,La Candelaria,146,29,117
2024,18,Rafael Uribe Uribe,1819,440,1379
2024,19,Ciudad Bolívar,3300,659,2641
2024,20,Sumapaz,17,5,12
2025,1,Usaquén,2165,508,1657
2025,2,Chapinero,667,170,497
2025,3,Santa Fe,682,130,552
2025,4,San Cristóbal,2005,378,1627
2025,5,Usme,2255,410,1845
2025,6,Tunjuelito,1030,205,825
2025,7,Bosa,3829,764,3065
2025,8,Kennedy,5269,972,4297
2025,9,Fontibón,1869,290,1579
2025,10,Engativá,3557,797,2760
2025,11,Suba,4990,1165,3825
2025,12,Barrios Unidos,662,141,521
2025,13,Teusaquillo,897,198,699
2025,14,Los Mártires,589,134,455
2025,15,Antonio Nariño,461,91,370
2025,16,Puente Aranda,1420,236,1184
2025,17,La Candelaria,167,35,132
2025,18,Rafael Uribe Uribe,2151,425,1726
