cod_mpio,year,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct
17088,2019,699,130,74,4
17088,2020,1103,157,73,4
17088,2021,667,155,79,4
17174,2019,7045,289,152,4
17174,2020,4724,275,159,4
17174,2021,4815,284,156,4
17272,2019,1272,172,99,4
17272,2020,593,90,58,4
17272,2021,615,111,73,4
17380,2019,3907,302,153,4
17380,2020,7204,326,178,4
17380,2021,6319,287,194,4
17388,2019,125,23,23,4
17388,2020,59,20,17,3
17388,2021,73,33,22,4
17433,2019,820,96,72,4
17433,2020,882,109,69,4
17433,2021,558,79,46,4
17442,2019,580,119,70,4
17442,2020,621,100,55,4
17442,2021,410,64,35,4
17444,2019,413,71,35,4
17444,2020,612,106,44,4
17444,2021,293,82,51,4
17446,2019,111,49,40,4
17446,2020,103,31,27,4
17446,2021,79,39,32,4
17486,2019,1622,220,145,4
17486,2020,1999,199,117,4
17486,2021,1990,184,114,4
17495,2019,319,85,63,3
17495,2020,366,73,46,4
17495,2021,244,74,62,4
17513,2019,1060,192,121,4
17513,2020,1337,202,84,4
17513,2021,1497,221,111,4
17524,2019,1347,215,103,4
17524,2020,1434,178,83,4
17524,2021,745,156,89,4
17541,2019,641,115,82,4
17541,2020,954,122,86,4
17541,2021,611,112,81,4
17614,2019,3410,281,149,4
17614,2020,2764,264,115,4
17614,2021,2719,307,132,4
17616,2019,835,172,92,4
17616,2020,615,126,75,4
17616,2021,785,146,92,4
17653,2019,2707,241,119,4
17653,2020,2312,241,92,4
17653,2021,2270,322,112,4
17662,2019,832,148,90,4
17662,2020,1005,146,81,4
17662,2021,1118,185,103,4
17665,2019,195,80,55,4
17665,2020,88,39,30,3
17665,2021,147,50,36,4
17777,2019,516,45,41,3
17777,2020,13,4,4,2
17777,2021,270,43,41,4
17867,2019,153,51,41,4
17867,2020,242,56,40,4
17867,2021,352,87,55,4
17873,2019,4900,273,170,4
17873,2020,5888,295,175,4
17873,2021,3938,239,159,4
17877,2019,580,101,60,4
17877,2020,1098,126,67,4
17877,2021,1011,164,83,4
18001,2019,24904,533,238,4
18001,2020,23017,365,193,4
18001,2021,23937,473,233,4
18029,2019,503,87,37,4
18029,2020,304,65,30,4
18029,2021,591,81,41,4
18094,2019,1189,124,62,4
18094,2020,727,72,46,4
18094,2021,1515,105,57,4
18150,2019,3306,142,57,4
18150,2020,1752,84,56,4
18150,2021,1260,123,85,4
18205,2019,964,82,36,4
18205,2020,362,61,44,4
18205,2021,393,100,53,4
18247,2019,1539,130,59,4
18247,2020,1617,119,70,4
18247,2021,1577,115,80,4
18256,2019,3188,164,76,4
18256,2020,1469,109,56,4
18256,2021,1403,121,74,4
18410,2019,1216,209,71,4
18410,2020,995,114,48,4
18410,2021,1075,151,69,4
18460,2019,331,67,29,3
18460,2020,253,48,27,4
18460,2021,818,68,41,4
18479,2019,159,48,28,4
18479,2020,129,32,24,3
18479,2021,200,30,22,2
18592,2019,904,55,50,4
18592,2020,1234,24,22,4
18592,2021,152,16,16,3
18610,2019,720,52,28,4
18610,2020,515,68,37,4
18610,2021,1464,118,55,4
18753,2019,1035,119,50,4
18753,2020,1040,130,88,4
18753,2021,2665,203,127,4
18756,2019,635,46,29,4
18756,2020,60,17,16,4
18756,2021,260,42,34,4
18785,2019,166,35,22,3
18785,2020,196,24,20,4
18785,2021,175,23,19,4
18860,2019,723,52,33,4
18860,2020,326,34,24,4
18860,2021,243,40,27,4
19001,2019,35356,606,278,4
19001,2020,27031,431,232,4
19001,2021,13418,345,203,4
19022,2019,309,78,55,4
19022,2020,326,64,41,4
19022,2021,582,89,58,3
19050,2019,1392,184,87,4
19050,2020,888,144,73,4
19050,2021,977,161,81,4
19075,2019,1523,164,75,4
19075,2020,1101,202,86,4
19075,2021,1532,219,112,4
19100,2019,1871,208,125,4
19100,2020,2175,224,106,4
19100,2021,2173,240,127,4
19110,2019,712,91,68,4
19110,2020,225,44,39,4
19110,2021,1157,88,53,3
19130,2019,1694,229,99,4
19130,2020,1245,164,83,4
19130,2021,830,113,76,4
19137,2019,1409,216,107,4
19137,2020,1784,190,98,4
19137,2021,1549,259,114,4
19142,2019,1939,204,101,3
19142,2020,1167,157,87,4
19142,2021,1185,120,73,4
19212,2019,1636,214,141,4
19212,2020,1027,124,95,4
19212,2021,990,127,81,4
19256,2019,5582,371,171,4
19256,2020,3857,306,126,4
19256,2021,2842,258,112,4
19290,2019,198,43,36,4
19290,2020,873,64,49,4
19290,2021,538,76,60,4
19300,2019,1060,147,102,4
19300,2020,1268,126,90,4
19300,2021,1940,188,92,4
19318,2019,1262,202,106,4
19318,2020,768,110,67,4
19318,2021,647,164,73,4
19355,2019,760,93,71,4
19355,2020,671,133,59,4
19355,2021,2192,166,68,4
19364,2019,460,142,67,4
19364,2020,315,80,38,4
19364,2021,151,81,37,3
19392,2019,1351,166,79,4
19392,2020,1165,141,65,4
19392,2021,2136,230,103,4
19397,2019,970,150,86,4
19397,2020,765,134,87,4
19397,2021,1218,157,99,4
19418,2019,408,81,43,4
19418,2020,181,44,25,4
19418,2021,199,62,32,4
19450,2019,5368,266,105,4
19450,2020,2919,266,98,4
19450,2021,5876,360,105,4
19455,2019,2623,356,147,4
19455,2020,2660,309,143,4
19455,2021,3035,387,157,4
19473,2019,1779,199,111,4
19473,2020,1918,144,75,4
19473,2021,827,112,70,4
19513,2019,476,67,36,4
19513,2020,372,30,15,3
19513,2021,91,26,14,2
19517,2019,353,59,48,4
19517,2020,290,60,54,4
19517,2021,166,33,32,3
19532,2019,1722,194,142,4
19532,2020,1729,207,126,4
19532,2021,3213,279,130,4
19533,2019,393,89,44,4
19533,2020,173,60,27,4
19533,2021,268,52,23,4
19548,2019,1524,151,114,4
19548,2020,733,97,74,4
19548,2021,1358,184,124,4
19573,2019,4753,294,110,4
19573,2020,3351,140,91,4
19573,2021,2232,171,103,4
19585,2019,1608,183,92,4
19585,2020,913,158,81,4
19585,2021,1277,162,94,4
19622,2019,1306,201,90,4
19622,2020,1089,131,58,4
19622,2021,1231,166,87,4
19693,2019,239,48,24,4
19693,2020,469,56,28,3
19693,2021,278,55,37,3
19698,2019,8344,229,116,4
19698,2020,5104,152,100,4
19698,2021,5218,246,143,4
19701,2019,136,35,25,4
19701,2020,171,25,19,3
19701,2021,232,62,45,4
19743,2019,1117,118,90,4
19743,2020,711,95,63,4
19743,2021,926,135,82,4
19760,2019,890,144,81,4
19760,2020,1072,144,75,4
19760,2021,694,96,50,4
19780,2019,553,127,65,4
19780,2020,461,82,42,4
19780,2021,406,83,51,4
19785,2019,322,70,33,4
19785,2020,752,76,38,4
19785,2021,1044,73,37,3
19807,2019,1685,197,88,4
19807,2020,2219,167,73,4
19807,2021,1557,147,90,4
19809,2019,539,166,71,4
19809,2020,371,128,59,4
19809,2021,384,142,70,4
19821,2019,664,140,62,4
19821,2020,905,108,60,4
19821,2021,1676,132,85,4
19824,2019,1096,87,63,4
19824,2020,513,83,57,4
19824,2021,920,108,75,4
19845,2019,795,98,78,4
19845,2020,850,108,76,4
19845,2021,722,85,63,3
20001,2019,79294,886,306,4
20001,2020,100041,1438,315,4
20001,2021,58739,816,294,4
20011,2019,8755,248,162,4
20011,2020,7673,213,152,4
20011,2021,5211,196,143,4
20013,2019,8934,359,183,4
20013,2020,3936,220,117,4
20013,2021,2478,185,103,4
20032,2019,162,47,32,4
20032,2020,290,28,24,4
20032,2021,439,51,36,4
20045,2019,2335,69,41,4
20045,2020,474,81,34,4
20045,2021,572,154,60,4
20060,2019,10598,543,151,4
20060,2020,3065,305,98,4
20060,2021,981,193,74,4
20175,2019,1215,129,69,4
20175,2020,737,114,50,4
20175,2021,367,91,46,4
20178,2019,2531,174,95,4
20178,2020,1000,210,98,4
20178,2021,688,162,85,4
20228,2019,3257,240,111,4
20228,2020,1423,163,93,4
20228,2021,321,40,36,4
20238,2019,802,116,64,4
20238,2020,518,101,63,4
20238,2021,807,99,69,4
20250,2019,7687,269,115,4
20250,2020,2086,158,86,4
20250,2021,312,85,47,4
20295,2019,368,56,31,4
20295,2020,202,41,32,4
20295,2021,187,56,43,4
20310,2019,529,86,51,4
20310,2020,453,67,45,4
20310,2021,118,39,27,3
20383,2019,923,141,66,4
20383,2020,541,108,58,4
20383,2021,152,57,32,3
20400,2019,1744,158,92,4
20400,2020,2068,163,85,4
20400,2021,3223,250,94,4
20443,2019,1023,190,77,4
20443,2020,442,98,40,4
20443,2021,864,109,41,4
20517,2019,2917,208,95,4
20517,2020,3148,235,69,4
20517,2021,2700,322,89,4
20550,2019,1811,307,103,4
20550,2020,1335,207,69,4
20550,2021,1385,173,66,4
20570,2019,826,149,61,4
20570,2020,131,40,22,4
20570,2021,255,53,34,4
20614,2019,860,103,68,4
20614,2020,1293,131,70,4
20614,2021,1704,96,65,4
20621,2019,2073,138,86,4
20621,2020,866,107,79,4
20621,2021,982,133,73,4
20710,2019,5191,448,165,4
20710,2020,1950,196,87,4
20710,2021,4388,359,121,4
20750,2019,1663,209,75,4
20750,2020,2595,229,95,4
20750,2021,1363,180,80,4
20770,2019,1829,248,136,4
20770,2020,1399,225,106,4
20770,2021,1184,188,99,4
20787,2019,1027,170,82,4
20787,2020,489,146,63,4
20787,2021,559,126,61,4
23001,2019,46289,702,347,4
23001,2020,18062,313,212,4
23001,2021,11000,252,102,4
23068,2019,1435,209,88,4
23068,2020,1634,322,122,4
23068,2021,4070,288,102,4
23079,2019,570,103,53,4
23079,2020,663,150,45,4
23079,2021,563,131,48,4
23090,2019,915,211,74,4
23090,2020,1230,210,101,4
23090,2021,1416,159,46,4
23162,2019,13422,772,307,4
23162,2020,4270,413,254,4
23162,2021,8720,572,180,4
23168,2019,965,124,57,4
23168,2020,407,139,58,4
23168,2021,614,124,47,4
23182,2019,5694,795,257,4
23182,2020,7610,808,259,4
23182,2021,5849,429,134,4
23189,2019,7383,638,272,4
23189,2020,4408,474,241,4
23189,2021,7857,344,92,4
23300,2019,949,279,147,4
23300,2020,711,176,111,4
23300,2021,1450,144,91,4
23350,2019,1433,102,52,4
23350,2020,133,45,34,4
23350,2021,125,79,40,4
23417,2019,5946,387,184,4
23417,2020,3703,249,168,4
23417,2021,6442,372,155,4
23419,2019,666,104,51,4
23419,2020,394,92,53,4
23419,2021,600,81,41,4
23464,2019,1445,411,188,4
23464,2020,996,294,122,4
23464,2021,582,87,45,3
23466,2019,4316,353,116,4
23466,2020,2436,310,146,4
23466,2021,2908,341,128,4
23500,2019,631,244,124,4
23500,2020,2375,162,104,4
23500,2021,1648,139,77,4
23555,2019,4763,403,197,4
23555,2020,1466,215,124,4
23555,2021,5346,342,108,4
23570,2019,1146,257,108,4
23570,2020,1966,309,126,4
23570,2021,2868,323,105,4
23574,2019,787,186,62,4
23574,2020,963,133,53,4
23574,2021,939,135,50,4
23580,2019,6548,147,62,4
23580,2020,742,141,62,4
23580,2021,679,133,45,4
23586,2019,1211,457,178,4
23586,2020,1403,346,180,4
23586,2021,738,152,56,4
23660,2019,12534,789,257,4
23660,2020,11178,719,216,4
23660,2021,10339,546,160,4
23670,2019,7594,267,137,4
23670,2020,19053,348,168,4
23670,2021,29230,275,73,4
23672,2019,1601,393,238,4
23672,2020,1116,165,120,4
23672,2021,1071,188,109,4
23675,2019,607,161,85,4
23675,2020,1735,234,134,4
23675,2021,1540,177,83,4
23678,2019,660,151,76,4
23678,2020,739,117,70,4
23678,2021,676,163,58,4
23682,2019,123,105,43,3
23682,2020,214,124,61,2
23682,2021,133,47,21,4
23686,2019,3827,473,215,4
23686,2020,2337,378,176,4
23686,2021,2878,288,109,3
23807,2019,7083,534,175,4
23807,2020,3323,588,245,4
23807,2021,1688,220,122,4
23815,2019,893,341,145,4
23815,2020,4721,387,215,4
23815,2021,6131,211,90,4
23855,2019,1612,194,96,4
23855,2020,1057,224,97,4
23855,2021,983,226,80,4
25001,2019,10680,422,229,4
25001,2020,2267,234,131,4
25001,2021,6300,215,111,4
25019,2019,2301,161,84,4
25019,2020,3827,217,102,4
25019,2021,1268,170,86,4
25035,2019,661,149,86,4
25035,2020,518,121,73,4
25035,2021,592,152,77,4
25040,2019,398,114,66,4
25040,2020,275,57,35,4
25040,2021,421,89,50,4
25053,2019,459,107,67,4
25053,2020,579,118,65,4
25053,2021,255,79,62,4
25086,2019,14,10,8,3
25086,2020,43,7,6,3
25086,2021,8,6,6,3
25095,2019,59,23,21,3
25095,2020,45,11,9,4
25095,2021,23,15,15,3
25099,2019,105,17,16,3
25099,2020,223,15,14,4
25099,2021,143,30,23,4
25120,2019,61,24,23,3
25120,2020,23,13,9,4
25120,2021,71,31,25,3
25123,2019,232,52,41,4
25123,2020,254,83,43,4
25123,2021,408,102,60,4
25126,2019,17514,642,220,4
25126,2020,12697,650,202,4
25126,2021,11049,511,180,4
25148,2019,144,47,35,4
25148,2020,168,51,31,4
25148,2021,184,70,40,4
25151,2019,869,125,75,4
25151,2020,523,79,57,4
25151,2021,1307,103,63,4
25154,2019,232,53,31,4
25154,2020,162,47,28,4
25154,2021,204,57,36,4
25168,2019,194,69,44,4
25168,2020,271,55,30,4
25168,2021,431,128,51,4
25175,2019,22976,844,249,4
25175,2020,31046,943,252,4
25175,2021,15271,667,249,4
25178,2019,860,169,98,4
25178,2020,654,108,64,4
25178,2021,711,107,78,4
25181,2019,839,191,83,4
25181,2020,981,105,46,4
25181,2021,548,111,54,4
25183,2019,3376,316,136,4
25183,2020,2546,245,116,4
25183,2021,2392,252,126,4
25200,2019,706,113,69,4
25200,2020,651,87,59,3
25200,2021,606,96,53,4
25214,2019,1891,215,121,4
25214,2020,2107,211,120,4
25214,2021,1552,182,106,4
25224,2019,647,138,55,4
25224,2020,222,57,34,4
25224,2021,364,101,49,4
25245,2019,1611,254,133,4
25245,2020,1923,167,93,4
25245,2021,722,112,85,4
25258,2019,2735,203,122,4
25258,2020,1480,139,73,4
25258,2021,645,95,55,4
25260,2019,1598,224,111,4
25260,2020,2484,242,113,4
25260,2021,2166,246,114,4
25269,2019,22545,866,236,4
25269,2020,25153,869,223,4
25269,2021,32383,1034,244,4
25279,2019,1086,258,81,4
25279,2020,1569,220,61,4
25279,2021,1462,314,83,4
25281,2019,802,169,64,4
25281,2020,753,124,43,4
25281,2021,644,158,60,4
25286,2019,10912,654,241,4
25286,2020,15625,666,218,4
25286,2021,11110,701,209,4
25288,2019,496,130,56,4
25288,2020,304,44,26,4
25288,2021,208,70,38,4
25290,2019,19535,599,237,4
25290,2020,21062,469,199,4
25290,2021,32455,1027,253,4
25293,2019,340,92,30,4
25293,2020,392,96,36,4
25293,2021,689,169,45,4
25295,2019,1845,399,118,4
25295,2020,1525,220,89,4
25295,2021,935,222,105,4
25297,2019,508,127,70,4
25297,2020,675,105,47,4
25297,2021,470,84,41,4
25299,2019,57,31,20,4
25299,2020,86,40,20,4
25299,2021,71,30,17,4
25307,2019,29343,988,278,4
25307,2020,24187,877,265,4
25307,2021,26865,921,273,4
25312,2019,105,48,22,4
25312,2020,141,48,23,3
25312,2021,152,76,35,4
25317,2019,1246,210,104,4
25317,2020,575,145,66,4
25317,2021,435,115,74,4
25320,2019,999,117,71,4
25320,2020,1219,116,68,4
25320,2021,704,133,83,4
25322,2019,1263,232,83,4
25322,2020,1745,190,74,4
25322,2021,1086,240,95,4
25324,2019,197,56,28,3
25324,2020,35,16,8,4
25324,2021,94,38,24,3
25326,2019,480,123,61,4
25326,2020,408,91,51,4
25326,2021,633,129,58,4
25328,2019,259,82,36,4
25328,2020,184,57,30,4
25328,2021,162,69,28,4
25335,2019,529,175,66,4
25335,2020,520,82,32,4
25335,2021,479,153,57,4
25339,2019,139,56,27,2
25339,2020,241,58,30,3
25339,2021,268,77,36,3
25368,2019,98,43,24,3
25368,2020,120,38,19,4
25368,2021,119,37,21,3
25372,2019,494,147,58,4
25372,2020,314,73,32,4
25372,2021,378,124,54,4
25377,2019,2108,253,120,4
25377,2020,2573,261,117,4
25377,2021,1902,224,112,4
25386,2019,3152,299,153,4
25386,2020,2808,226,120,4
25386,2021,3306,299,122,4
25394,2019,1201,270,75,4
25394,2020,1513,212,63,4
25394,2021,1043,232,65,4
25398,2019,265,84,26,4
25398,2020,405,75,28,3
25398,2021,204,66,28,3
25402,2019,1766,286,102,4
25402,2020,1840,252,87,4
25402,2021,1958,347,114,4
25407,2019,498,152,66,4
25407,2020,468,118,43,4
25407,2021,713,186,57,4
25426,2019,1068,213,64,4
25426,2020,1122,176,57,4
25426,2021,730,174,53,4
25430,2019,9620,538,177,4
25430,2020,23754,785,191,4
25430,2021,25379,984,220,4
25436,2019,770,157,67,4
25436,2020,640,116,49,4
25436,2021,480,97,40,4
25438,2019,295,147,51,3
25438,2020,613,125,44,4
25438,2021,295,103,54,4
25473,2019,5651,323,204,4
25473,2020,4086,179,127,4
25473,2021,5568,331,199,4
25483,2019,106,23,20,4
25483,2020,37,12,10,2
25483,2021,39,21,21,2
25486,2019,561,106,66,4
25486,2020,629,111,67,4
25486,2021,705,157,81,4
25488,2019,308,80,38,4
25488,2020,308,72,35,4
25488,2021,337,73,35,4
25489,2019,225,53,38,4
25489,2020,119,35,25,4
25489,2021,200,59,31,4
25491,2019,293,69,35,4
25491,2020,245,48,26,4
25491,2021,153,47,25,4
25506,2019,165,50,22,4
25506,2020,109,38,22,3
25506,2021,146,61,26,4
25513,2019,1656,203,100,4
25513,2020,1822,196,110,4
25513,2021,1909,178,109,4
25518,2019,133,63,45,4
25518,2020,109,29,18,4
25518,2021,66,37,24,4
25524,2019,172,43,21,4
25524,2020,181,23,13,3
25524,2021,183,70,34,4
25530,2019,350,150,59,4
25530,2020,279,97,33,4
25530,2021,544,191,66,4
25535,2019,467,125,72,3
25535,2020,415,94,51,4
25535,2021,537,119,60,4
25572,2019,978,270,95,4
25572,2020,1373,204,65,4
25572,2021,1218,299,97,4
25580,2019,87,46,22,4
25580,2020,161,42,18,4
25580,2021,88,48,21,4
25592,2019,549,128,54,4
25592,2020,315,83,35,4
25592,2021,379,87,40,4
25594,2019,243,60,34,3
25594,2020,205,66,34,3
25594,2021,422,120,59,4
25596,2019,439,158,70,4
25596,2020,251,77,36,4
25596,2021,842,186,61,4
25599,2019,690,190,88,4
25599,2020,481,98,58,4
25599,2021,653,169,86,4
25612,2019,927,135,72,4
25612,2020,448,109,71,4
25612,2021,426,96,67,4
25645,2019,142,45,34,4
25645,2020,221,42,35,4
25645,2021,168,56,35,4
25649,2019,461,81,40,4
25649,2020,292,67,33,4
25649,2021,447,109,58,4
25653,2019,231,50,32,4
25653,2020,154,40,24,3
25653,2021,119,49,28,4
25658,2019,3857,263,102,4
25658,2020,2469,198,94,4
25658,2021,1196,197,79,4
25662,2019,298,116,79,4
25662,2020,633,119,57,4
25662,2021,318,103,61,4
25718,2019,321,117,65,4
25718,2020,352,94,54,4
25718,2021,1021,120,54,4
25736,2019,563,165,73,4
25736,2020,831,126,52,4
25736,2021,675,119,56,4
25740,2019,15882,336,170,4
25740,2020,13424,233,134,4
25740,2021,11162,189,116,4
25743,2019,778,148,68,4
25743,2020,2074,242,83,4
25743,2021,2190,324,88,4
25745,2019,310,102,36,4
25745,2020,476,101,30,4
25745,2021,596,180,44,4
25754,2019,40253,693,244,4
25754,2020,57854,903,294,4
25754,2021,41862,842,308,4
25758,2019,3791,376,160,4
25758,2020,2874,316,140,4
25758,2021,2640,298,129,4
25769,2019,701,105,73,4
25769,2020,438,60,42,4
25769,2021,219,43,42,3
25772,2019,189,32,30,4
25772,2020,255,32,31,4
25772,2021,392,46,40,4
25777,2019,172,53,41,4
25777,2020,149,31,26,4
25777,2021,103,35,27,3
25779,2019,137,52,39,4
25779,2020,369,61,33,4
25779,2021,290,110,57,4
25781,2019,500,113,54,4
25781,2020,418,104,46,4
25781,2021,213,70,37,4
25785,2019,1352,176,85,4
25785,2020,1713,208,92,4
25785,2021,1498,183,100,4
25793,2019,362,122,69,4
25793,2020,288,73,38,4
25793,2021,142,62,42,4
25797,2019,585,136,64,4
25797,2020,595,101,45,4
25797,2021,534,137,58,4
25799,2019,2033,299,139,4
25799,2020,1699,216,105,4
25799,2021,1448,249,116,4
25805,2019,383,102,54,4
25805,2020,356,74,36,4
25805,2021,264,66,36,2
25807,2019,656,119,50,4
25807,2020,259,57,32,4
25807,2021,387,101,45,4
25815,2019,2589,217,107,4
25815,2020,2528,199,107,4
25815,2021,2104,261,119,4
25817,2019,2630,267,150,4
25817,2020,4644,345,153,4
25817,2021,4629,323,146,4
25823,2019,122,46,35,2
25823,2020,255,44,31,4
25823,2021,108,51,34,4
25839,2019,219,66,39,4
25839,2020,198,54,29,4
25839,2021,204,88,43,4
25841,2019,543,174,80,4
25841,2020,512,115,67,4
25841,2021,461,135,73,4
25843,2019,8837,452,192,4
25843,2020,6877,528,183,4
25843,2021,4394,475,181,4
25845,2019,331,145,73,4
25845,2020,265,71,47,4
25845,2021,435,132,79,4
25851,2019,296,80,43,4
25851,2020,465,73,40,4
25851,2021,294,116,52,4
25862,2019,574,117,55,4
25862,2020,443,72,30,4
25862,2021,341,79,29,4
25867,2019,296,114,42,4
25867,2020,121,64,24,4
25867,2021,88,68,25,4
25871,2019,220,78,29,4
25871,2020,82,38,17,2
25871,2021,109,53,18,3
25873,2019,1545,274,74,4
25873,2020,1328,185,71,4
25873,2021,1006,180,49,4
25875,2019,1734,195,120,4
25875,2020,1681,221,114,4
25875,2021,2000,254,137,4
25878,2019,532,146,97,4
25878,2020,368,77,48,4
25878,2021,518,75,47,4
25885,2019,604,114,73,4
25885,2020,454,72,45,4
25885,2021,451,103,66,4
25898,2019,88,33,28,4
25898,2020,94,16,15,3
25898,2021,55,22,19,4
25899,2019,12642,537,208,4
25899,2020,25525,837,218,4
25899,2021,13362,689,207,4
27001,2019,10759,646,244,4
27001,2020,9061,679,215,4
27001,2021,4730,354,205,4
27006,2019,117,52,39,4
27006,2020,161,41,30,4
27006,2021,281,55,38,4
27025,2019,52,31,26,4
27025,2020,74,27,18,3
27025,2021,34,22,19,3
27050,2019,134,52,37,3
27050,2020,94,41,25,4
27050,2021,39,20,14,3
27073,2019,56,36,27,4
27073,2020,63,26,19,4
27073,2021,62,13,8,3
27075,2019,123,55,34,3
27075,2020,134,45,27,3
27075,2021,100,41,30,4
27077,2019,38,21,17,4
27077,2020,31,16,14,3
27077,2021,24,13,9,4
27099,2019,222,76,48,4
27099,2020,278,80,43,4
27099,2021,1090,25,16,4
27135,2019,123,43,24,3
27135,2020,80,35,17,3
27135,2021,40,22,10,3
27150,2019,19,17,11,4
27150,2020,10,10,6,1
27150,2021,10,9,8,2
27160,2019,122,42,27,2
27160,2020,181,53,29,2
27160,2021,67,42,29,2
27205,2019,133,37,27,4
27205,2020,67,27,22,4
27205,2021,125,47,32,3
27245,2019,165,51,34,4
27245,2020,376,48,30,3
27245,2021,153,48,27,3
27250,2019,5,4,3,1
27250,2020,3,3,2,1
27250,2021,7,7,5,2
27361,2019,152,52,36,4
27361,2020,278,55,34,4
27361,2021,267,54,40,3
27372,2019,1,1,1,1
27372,2020,3,2,2,2
27372,2021,1,1,1,1
27413,2019,166,68,27,4
27413,2020,60,26,10,4
27413,2021,12,11,6,1
27425,2019,111,52,29,4
27425,2020,162,59,25,4
27425,2021,53,34,16,2
27430,2019,261,68,31,4
27430,2020,136,46,21,4
27430,2021,58,31,19,3
27450,2019,102,39,26,3
27450,2020,33,15,10,3
27450,2021,22,17,14,3
27491,2019,143,48,26,4
27491,2020,150,56,24,4
27491,2021,49,34,21,3
27495,2019,60,36,24,4
27495,2020,55,29,15,4
27495,2021,73,44,25,4
27580,2019,65,32,21,4
27580,2020,30,20,15,3
27580,2021,15,6,4,2
27600,2019,110,51,32,4
27600,2020,89,24,21,4
27600,2021,31,14,11,2
27615,2019,81,37,26,4
27615,2020,44,22,12,4
27615,2021,132,23,19,3
27660,2019,36,23,15,4
27660,2020,51,13,7,4
27660,2021,58,13,10,3
27745,2019,23,14,9,4
27745,2020,30,8,5,2
27745,2021,8,8,6,2
27787,2019,209,73,37,4
27787,2020,13,8,6,4
27787,2021,109,49,31,4
27800,2019,81,33,20,4
27800,2020,122,17,12,3
27800,2021,74,31,21,4
27810,2019,88,36,28,4
27810,2020,80,25,17,3
27810,2021,25,14,12,2
41001,2019,50719,522,282,4
41001,2020,57771,563,270,4
41001,2021,90995,868,283,4
41006,2019,1004,84,55,4
41006,2020,1611,107,46,4
41006,2021,1090,124,65,4
41013,2019,244,50,40,4
41013,2020,87,26,23,4
41013,2021,125,30,17,4
41016,2019,347,66,49,4
41016,2020,1033,110,74,4
41016,2021,1009,92,63,4
41020,2019,812,144,84,4
41020,2020,1146,162,83,4
41020,2021,1220,146,62,4
41026,2019,110,36,23,3
41026,2020,120,44,24,4
41026,2021,393,44,21,4
41078,2019,621,117,64,4
41078,2020,948,100,46,4
41078,2021,598,139,52,4
41132,2019,4706,259,128,4
41132,2020,4656,208,116,4
41132,2021,5161,313,155,4
41206,2019,220,60,47,4
41206,2020,265,51,41,4
41206,2021,243,51,23,4
41244,2019,350,80,60,4
41244,2020,169,35,29,4
41244,2021,342,55,25,4
41298,2019,6267,368,220,4
41298,2020,8040,336,183,4
41298,2021,7061,260,113,4
41306,2019,1848,273,113,4
41306,2020,2195,232,89,4
41306,2021,3475,300,102,4
41319,2019,698,103,67,4
41319,2020,712,95,45,4
41319,2021,902,134,65,4
41349,2019,1090,95,55,4
41349,2020,649,89,55,4
41349,2021,623,86,45,4
41357,2019,289,61,43,3
41357,2020,179,43,25,4
41357,2021,406,94,55,4
41359,2019,711,138,76,4
41359,2020,1627,184,90,4
41359,2021,2026,190,94,4
41378,2019,479,109,69,3
41378,2020,518,84,54,4
41378,2021,534,117,68,4
41396,2019,4092,302,140,4
41396,2020,3526,294,137,4
41396,2021,6314,427,145,4
41483,2019,343,90,49,4
41483,2020,394,53,26,4
41483,2021,483,46,20,4
41503,2019,454,83,34,4
41503,2020,372,35,14,2
41503,2021,608,48,23,3
41518,2019,258,41,26,4
41518,2020,355,46,25,3
41518,2021,125,45,20,4
41524,2019,2818,305,116,4
41524,2020,3862,335,114,4
41524,2021,3282,311,83,4
41530,2019,726,180,83,4
41530,2020,1468,95,46,4
41530,2021,354,76,41,4
41548,2019,143,24,18,3
41548,2020,274,27,22,4
41548,2021,594,59,29,4
41551,2019,7670,376,213,4
41551,2020,10349,425,196,4
41551,2021,16448,628,217,4
41615,2019,1962,170,105,4
41615,2020,2008,212,115,4
41615,2021,2718,251,112,4
41660,2019,849,123,75,4
41660,2020,731,66,47,4
41660,2021,746,109,41,4
41668,2019,1606,175,113,4
41668,2020,836,84,60,4
41668,2021,6079,132,61,4
41676,2019,982,162,69,4
41676,2020,495,82,40,4
41676,2021,1747,237,85,4
41770,2019,1700,252,97,4
41770,2020,2093,230,89,4
41770,2021,2459,220,81,4
41791,2019,1280,161,96,4
41791,2020,1633,110,60,4
41791,2021,1384,106,47,4
41797,2019,354,87,56,4
41797,2020,646,80,50,4
41797,2021,447,95,47,4
41799,2019,783,105,73,4
41799,2020,1016,137,85,4
41799,2021,762,137,53,4
41801,2019,552,67,45,4
41801,2020,583,62,31,4
41801,2021,580,101,46,4
41807,2019,951,140,52,4
41807,2020,462,37,23,4
41807,2021,1292,172,69,4
41872,2019,464,98,40,4
41872,2020,238,88,34,3
41872,2021,660,149,46,4
41885,2019,775,154,62,4
41885,2020,664,83,45,4
41885,2021,546,98,46,4
44001,2019,18577,298,192,4
44001,2020,31003,255,167,4
44001,2021,26047,230,136,4
44035,2019,1800,118,80,4
44035,2020,2220,71,54,4
44035,2021,2458,118,83,4
44078,2019,6945,103,75,4
44078,2020,8386,86,62,4
44078,2021,14272,166,105,4
44090,2019,1466,112,59,4
