cod_mpio,year,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct
05380,2019,10415,466,215,4
05380,2020,5781,346,172,4
05380,2021,3768,258,164,4
05390,2019,91,36,33,3
05390,2020,193,44,30,4
05390,2021,103,41,35,4
05400,2019,723,129,70,4
05400,2020,1248,146,67,4
05400,2021,1207,136,68,4
05411,2019,187,37,27,4
05411,2020,137,24,21,4
05411,2021,80,27,24,2
05425,2019,692,110,75,4
05425,2020,241,55,33,3
05425,2021,149,49,36,2
05440,2019,5765,310,194,4
05440,2020,3705,175,134,4
05440,2021,1744,109,60,4
05467,2019,526,61,46,4
05467,2020,349,23,20,3
05467,2021,57,12,12,4
05475,2019,76,16,13,3
05475,2020,35,11,10,2
05475,2021,6,4,4,2
05480,2019,101,32,22,4
05480,2020,85,15,14,4
05480,2021,102,35,32,4
05483,2019,346,76,44,4
05483,2020,96,27,21,4
05483,2021,61,20,13,3
05490,2019,217,37,37,3
05490,2020,395,90,66,4
05490,2021,675,133,95,4
05495,2019,839,150,91,4
05495,2020,679,132,82,4
05495,2021,1140,163,101,4
05501,2019,78,38,34,3
05501,2020,17,15,10,3
05501,2021,24,21,14,3
05541,2019,1058,179,95,4
05541,2020,958,165,67,4
05541,2021,1147,207,79,4
05543,2019,1136,185,60,4
05543,2020,598,149,48,4
05543,2021,1457,199,57,4
05576,2019,2682,356,97,4
05576,2020,2060,305,76,4
05576,2021,2433,291,79,4
05579,2019,3212,269,129,4
05579,2020,1859,239,106,4
05579,2021,1048,221,117,4
05585,2019,235,71,54,4
05585,2020,196,51,31,4
05585,2021,99,36,27,4
05591,2019,406,106,70,4
05591,2020,135,62,34,4
05591,2021,136,48,28,4
05604,2019,1327,238,84,4
05604,2020,883,165,81,4
05604,2021,1983,188,99,4
05607,2019,2479,272,77,4
05607,2020,1884,193,98,4
05607,2021,1290,149,110,4
05615,2019,30300,627,187,4
05615,2020,15035,274,135,4
05615,2021,10501,262,101,4
05628,2019,50,19,8,2
05628,2020,26,14,7,3
05628,2021,18,10,5,1
05631,2019,10341,225,129,4
05631,2020,574,49,47,4
05631,2021,916,67,66,4
05642,2019,92,14,10,3
05642,2020,112,27,18,4
05642,2021,48,19,15,4
05647,2019,18,10,5,3
05647,2020,40,16,5,1
05647,2021,4,2,1,1
05649,2019,264,60,29,3
05649,2020,113,33,14,2
05649,2021,104,42,17,4
05652,2019,88,32,16,4
05652,2020,56,26,13,2
05652,2021,57,29,15,3
05656,2019,1212,145,77,4
05656,2020,487,71,49,4
05656,2021,133,55,39,4
05658,2019,233,46,16,4
05658,2020,64,18,13,3
05658,2021,36,12,6,2
05659,2019,216,61,30,4
05659,2020,104,28,13,3
05659,2021,54,28,11,4
05660,2019,328,82,42,4
05660,2020,166,43,26,3
05660,2021,158,47,31,4
05664,2019,1074,137,84,4
05664,2020,476,101,80,4
05664,2021,556,134,94,4
05665,2019,1357,269,107,4
05665,2020,420,95,59,4
05665,2021,255,95,56,4
05667,2019,555,113,56,4
05667,2020,243,61,34,3
05667,2021,227,51,30,4
05670,2019,687,91,72,4
05670,2020,315,69,46,4
05670,2021,133,50,28,3
05674,2019,1901,215,100,4
05674,2020,239,48,32,4
05674,2021,218,50,30,4
05679,2019,1021,106,71,4
05679,2020,448,76,58,4
05679,2021,370,40,29,4
05686,2019,898,76,57,4
05686,2020,898,149,87,4
05686,2021,1453,216,114,4
05690,2019,840,150,78,4
05690,2020,440,105,64,4
05690,2021,335,69,49,4
05697,2019,2554,183,87,4
05697,2020,1521,135,101,4
05697,2021,1279,95,75,4
05736,2019,1566,117,97,4
05736,2020,1020,113,89,4
05736,2021,652,84,68,4
05756,2019,2011,163,76,4
05756,2020,1178,136,86,4
05756,2021,697,106,54,4
05761,2019,994,138,58,4
05761,2020,850,140,70,4
05761,2021,362,109,65,4
05789,2019,1683,231,84,4
05789,2020,1678,160,86,4
05789,2021,2034,228,118,4
05790,2019,1530,227,89,4
05790,2020,1414,190,97,4
05790,2021,2275,260,120,4
05792,2019,555,144,65,3
05792,2020,327,92,58,4
05792,2021,159,70,49,3
05809,2019,1581,189,83,4
05809,2020,699,83,53,3
05809,2021,193,53,41,3
05819,2019,289,86,41,3
05819,2020,131,32,20,4
05819,2021,39,22,16,2
05837,2019,3761,287,118,4
05837,2020,5642,398,166,4
05837,2021,5609,512,188,4
05842,2019,1034,183,71,4
05842,2020,551,129,46,4
05842,2021,1008,189,78,4
05847,2019,1762,222,113,4
05847,2020,552,108,68,4
05847,2021,609,73,45,3
05854,2019,637,101,51,4
05854,2020,946,110,66,4
05854,2021,1285,176,96,4
05856,2019,308,89,49,3
05856,2020,170,50,35,4
05856,2021,89,43,24,2
05858,2019,934,212,78,4
05858,2020,295,84,49,4
05858,2021,311,85,37,3
05861,2019,894,198,84,4
05861,2020,572,141,49,4
05861,2021,497,100,35,4
05873,2019,149,48,15,4
05873,2020,170,28,13,4
05873,2021,57,14,5,3
05885,2019,632,141,53,4
05885,2020,279,56,34,2
05885,2021,360,87,48,4
05887,2019,3958,297,163,4
05887,2020,688,89,74,4
05887,2021,1034,33,33,1
05890,2019,562,59,48,3
05890,2020,812,80,62,4
05890,2021,1312,98,77,4
05893,2019,124,57,30,4
05893,2020,57,30,20,3
05893,2021,112,26,14,4
05895,2019,690,152,63,4
05895,2020,1074,194,79,4
05895,2021,1867,216,101,4
08001,2019,340057,1277,365,4
08001,2020,201817,1096,370,4
08001,2021,297023,1023,363,4
08078,2019,7534,377,158,4
08078,2020,8313,386,187,4
08078,2021,6832,393,162,4
08137,2019,1822,252,145,4
08137,2020,4427,214,128,4
08137,2021,3757,149,106,4
08141,2019,318,86,53,4
08141,2020,549,116,79,4
08141,2021,1337,140,67,4
08296,2019,2582,146,65,4
08296,2020,1465,89,64,3
08296,2021,2820,188,109,4
08372,2019,1229,167,104,4
08372,2020,1940,216,92,4
08372,2021,1636,191,75,4
08421,2019,992,144,84,4
08421,2020,1961,156,89,4
08421,2021,2248,207,97,4
08433,2019,9354,374,233,4
08433,2020,4949,192,155,4
08433,2021,2860,68,63,4
08436,2019,509,62,40,4
08436,2020,811,81,53,4
08436,2021,1493,102,45,4
08520,2019,1828,154,74,4
08520,2020,753,82,65,4
08520,2021,426,81,52,4
08549,2019,92,27,19,3
08549,2020,46,21,14,4
08549,2021,55,23,12,2
08558,2019,518,48,44,4
08558,2020,1245,86,71,4
08558,2021,1079,120,51,4
08560,2019,590,98,73,4
08560,2020,1039,110,77,4
08560,2021,734,125,53,4
08573,2019,7317,380,178,4
08573,2020,2253,191,105,4
08573,2021,1485,178,119,4
08606,2019,1554,100,66,4
08606,2020,841,84,63,4
08606,2021,739,85,49,4
08634,2019,1063,185,105,4
08634,2020,2170,255,154,4
08634,2021,3782,223,80,4
08638,2019,7630,530,210,4
08638,2020,9044,467,224,4
08638,2021,8841,305,162,4
08675,2019,121,43,27,2
08675,2020,318,48,29,4
08675,2021,557,76,40,4
08685,2019,2284,217,94,4
08685,2020,2921,199,78,4
08685,2021,4540,256,93,4
08758,2019,78772,945,365,4
08758,2020,54054,924,340,4
08758,2021,55792,703,255,4
08770,2019,488,105,58,4
08770,2020,698,123,67,4
08770,2021,530,116,53,4
08832,2019,623,122,80,4
08832,2020,496,111,58,4
08832,2021,446,101,48,4
08849,2019,1593,98,54,4
08849,2020,1820,94,46,4
08849,2021,472,104,49,4
11001,2019,1103058,1369,400,4
11001,2020,578159,901,359,4
11001,2021,1084356,1191,382,4
13001,2019,108651,937,337,4
13001,2020,224803,2026,397,4
13001,2021,224402,746,285,4
13006,2019,2930,234,106,4
13006,2020,3836,183,74,4
13006,2021,1920,144,65,4
13030,2019,193,69,38,4
13030,2020,79,33,21,2
13030,2021,259,62,23,3
13042,2019,125,54,23,3
13042,2020,229,49,18,4
13042,2021,127,53,17,3
13052,2019,44662,580,237,4
13052,2020,21527,309,205,4
13052,2021,13471,289,136,4
13062,2019,820,89,47,3
13062,2020,285,41,26,2
13062,2021,378,80,44,2
13074,2019,340,113,39,4
13074,2020,92,65,25,4
13074,2021,354,49,17,3
13140,2019,1995,84,51,4
13140,2020,1201,76,67,4
13140,2021,1655,116,70,4
13160,2019,81,42,26,3
13160,2020,126,43,26,3
13160,2021,392,75,35,3
13188,2019,1809,225,88,4
13188,2020,1560,157,52,4
13188,2021,919,57,24,4
13212,2019,127,26,24,4
13212,2020,158,44,35,3
13212,2021,131,31,30,2
13222,2019,155,21,17,4
13222,2020,307,62,38,4
13222,2021,326,72,39,4
13244,2019,6391,308,204,4
13244,2020,7273,322,218,4
13244,2021,5932,181,89,4
13248,2019,55,35,35,3
13248,2020,390,80,78,3
13248,2021,688,46,24,4
13268,2019,24,13,12,4
13268,2020,103,12,11,3
13268,2021,42,19,17,4
13300,2019,92,16,12,3
13300,2020,94,25,15,4
13300,2021,138,32,19,4
13430,2019,4935,131,102,4
13430,2020,20174,215,129,4
13430,2021,4742,112,67,4
13433,2019,10103,100,88,4
13433,2020,3823,65,53,4
13433,2021,800,81,46,4
13440,2019,50,13,7,4
13440,2020,60,13,9,3
13440,2021,99,23,11,3
13442,2019,18587,166,99,4
13442,2020,21726,145,124,4
13442,2021,4058,46,34,3
13458,2019,314,53,34,3
13458,2020,78,23,20,3
13458,2021,5,5,2,1
13468,2019,1713,145,104,4
13468,2020,1365,47,42,4
13468,2021,1543,83,48,4
13473,2019,124,21,20,4
13473,2020,30,13,12,3
13473,2021,41,11,11,2
13490,2019,13,8,8,2
13490,2020,2,2,2,2
13490,2021,18,8,8,2
13549,2019,296,84,60,2
13549,2020,274,127,102,3
13549,2021,363,63,29,3
13580,2019,26,15,15,2
13580,2020,25,15,14,3
13580,2021,55,16,9,3
13600,2019,76,39,27,4
13600,2020,34,20,17,2
13600,2021,219,51,30,4
13620,2019,135,63,53,4
13620,2020,603,65,47,3
13620,2021,621,75,46,4
13647,2019,686,147,70,4
13647,2020,786,112,61,4
13647,2021,2338,147,62,4
13650,2019,479,63,23,3
13650,2020,131,60,22,4
13650,2021,186,40,19,3
13654,2019,1614,336,190,4
13654,2020,1038,232,181,4
13654,2021,1246,91,55,4
13655,2019,8,6,6,2
13655,2020,13,13,13,3
13655,2021,106,9,5,3
13657,2019,15161,316,246,4
13657,2020,18184,189,116,4
13657,2021,19050,320,102,4
13667,2019,1228,128,36,3
13667,2020,604,80,21,4
13667,2021,348,72,20,4
13670,2019,1070,179,80,4
13670,2020,864,125,68,4
13670,2021,660,119,62,3
13673,2019,944,101,71,4
13673,2020,566,103,60,4
13673,2021,1219,137,49,4
13683,2019,3282,251,116,4
13683,2020,1412,184,115,4
13683,2021,1026,142,87,4
13688,2019,377,68,54,4
13688,2020,687,63,47,4
13688,2021,319,57,32,4
13744,2019,591,240,112,4
13744,2020,469,202,109,4
13744,2021,466,118,38,4
13760,2019,198,63,45,4
13760,2020,402,68,34,4
13760,2021,551,70,31,4
13780,2019,215,71,45,4
13780,2020,329,64,48,4
13780,2021,807,81,56,4
13810,2019,374,142,98,4
13810,2020,227,87,68,4
13810,2021,311,75,51,4
13836,2019,72490,768,279,4
13836,2020,22621,580,215,4
13836,2021,31128,461,156,4
13838,2019,3150,120,81,4
13838,2020,7068,63,50,3
13838,2021,2647,64,40,3
13873,2019,2567,218,88,4
