departamento,year,ipm_domain,ipm_pct,cod_dpto
Boyacá,2024,Total,6.9,15
Boyacá,2025,Cabeceras,4.0,15
Boyacá,2025,Centros poblados  y rural disperso,10.3,15
Boyacá,2025,Total,6.4,15
Caldas,2018,Cabeceras,10.1,17
Caldas,2018,Centros poblados  y rural disperso,24.6,17
Caldas,2018,Total,13.8,17
Caldas,2019,Cabeceras,10.4,17
Caldas,2019,Centros poblados  y rural disperso,25.8,17
Caldas,2019,Total,14.3,17
Caldas,2020,Cabeceras,8.7,17
Caldas,2020,Centros poblados  y rural disperso,32.8,17
Caldas,2020,Total,14.5,17
Caldas,2021,Cabeceras,8.7,17
Caldas,2021,Centros poblados  y rural disperso,20.4,17
Caldas,2021,Total,11.5,17
Caldas,2022,Cabeceras,7.8,17
Caldas,2022,Centros poblados  y rural disperso,19.5,17
Caldas,2022,Total,10.5,17
Caldas,2023,Cabeceras,4.8,17
Caldas,2023,Centros poblados  y rural disperso,16.3,17
Caldas,2023,Total,7.4,17
Caldas,2024,Cabeceras,6.0,17
Caldas,2024,Centros poblados  y rural disperso,20.3,17
Caldas,2024,Total,9.2,17
Caldas,2025,Cabeceras,4.7,17
Caldas,2025,Centros poblados  y rural disperso,18.9,17
Caldas,2025,Total,7.9,17
Caquetá,2018,Cabeceras,20.5,18
Caquetá,2018,Centros poblados  y rural disperso,38.6,18
Caquetá,2018,Total,26.9,18
Caquetá,2019,Cabeceras,19.2,18
Caquetá,2019,Centros poblados  y rural disperso,37.7,18
Caquetá,2019,Total,25.7,18
Caquetá,2020,Cabeceras,18.4,18
Caquetá,2020,Centros poblados  y rural disperso,40.5,18
Caquetá,2020,Total,26.1,18
Caquetá,2021,Cabeceras,15.9,18
Caquetá,2021,Centros poblados  y rural disperso,36.6,18
Caquetá,2021,Total,23.1,18
Caquetá,2022,Cabeceras,16.4,18
Caquetá,2022,Centros poblados  y rural disperso,25.6,18
Caquetá,2022,Total,19.6,18
Caquetá,2023,Cabeceras,11.3,18
Caquetá,2023,Centros poblados  y rural disperso,28.6,18
Caquetá,2023,Total,17.2,18
Caquetá,2024,Cabeceras,8.6,18
Caquetá,2024,Centros poblados  y rural disperso,24.2,18
Caquetá,2024,Total,13.9,18
Caquetá,2025,Cabeceras,10.0,18
Caquetá,2025,Centros poblados  y rural disperso,24.8,18
Caquetá,2025,Total,15.0,18
Cauca,2018,Cabeceras,13.2,19
Cauca,2018,Centros poblados  y rural disperso,36.2,19
Cauca,2018,Total,27.7,19
Cauca,2019,Cabeceras,10.6,19
Cauca,2019,Centros poblados  y rural disperso,31.8,19
Cauca,2019,Total,24.0,19
Cauca,2020,Cabeceras,12.3,19
Cauca,2020,Centros poblados  y rural disperso,37.4,19
Cauca,2020,Total,28.2,19
Cauca,2021,Cabeceras,10.5,19
Cauca,2021,Centros poblados  y rural disperso,23.2,19
Cauca,2021,Total,18.6,19
Cauca,2022,Cabeceras,8.8,19
Cauca,2022,Centros poblados  y rural disperso,23.6,19
Cauca,2022,Total,18.3,19
Cauca,2023,Cabeceras,6.8,19
Cauca,2023,Centros poblados  y rural disperso,20.9,19
Cauca,2023,Total,15.8,19
Cauca,2024,Cabeceras,7.5,19
Cauca,2024,Centros poblados  y rural disperso,17.6,19
Cauca,2024,Total,14.0,19
Cauca,2025,Cabeceras,7.1,19
Cauca,2025,Centros poblados  y rural disperso,16.1,19
Cauca,2025,Total,13.0,19
Cesar,2018,Cabeceras,26.5,20
Cesar,2018,Centros poblados  y rural disperso,47.6,20
Cesar,2018,Total,31.7,20
Cesar,2019,Cabeceras,20.5,20
Cesar,2019,Centros poblados  y rural disperso,40.7,20
Cesar,2019,Total,25.5,20
Cesar,2020,Cabeceras,20.7,20
Cesar,2020,Centros poblados  y rural disperso,46.8,20
Cesar,2020,Total,27.2,20
Cesar,2021,Cabeceras,20.8,20
Cesar,2021,Centros poblados  y rural disperso,39.1,20
Cesar,2021,Total,25.3,20
Cesar,2022,Cabeceras,14.2,20
Cesar,2022,Centros poblados  y rural disperso,34.1,20
Cesar,2022,Total,19.1,20
Cesar,2023,Cabeceras,13.2,20
Cesar,2023,Centros poblados  y rural disperso,30.9,20
Cesar,2023,Total,17.7,20
Cesar,2024,Cabeceras,10.7,20
Cesar,2024,Centros poblados  y rural disperso,21.3,20
Cesar,2024,Total,13.4,20
Cesar,2025,Cabeceras,9.8,20
Cesar,2025,Centros poblados  y rural disperso,29.6,20
Cesar,2025,Total,14.8,20
Córdoba,2018,Cabeceras,21.1,23
Córdoba,2018,Centros poblados  y rural disperso,49.2,23
Córdoba,2018,Total,34.4,23
Córdoba,2019,Cabeceras,23.2,23
Córdoba,2019,Centros poblados  y rural disperso,47.2,23
Córdoba,2019,Total,34.7,23
Córdoba,2020,Cabeceras,21.8,23
Córdoba,2020,Centros poblados  y rural disperso,42.6,23
Córdoba,2020,Total,31.8,23
Córdoba,2021,Cabeceras,14.1,23
Córdoba,2021,Centros poblados  y rural disperso,40.6,23
Córdoba,2021,Total,26.9,23
Córdoba,2022,Cabeceras,16.5,23
Córdoba,2022,Centros poblados  y rural disperso,38.0,23
Córdoba,2022,Total,26.9,23
Córdoba,2023,Cabeceras,12.6,23
Córdoba,2023,Centros poblados  y rural disperso,30.6,23
Córdoba,2023,Total,21.4,23
Córdoba,2024,Cabeceras,13.0,23
Córdoba,2024,Centros poblados  y rural disperso,38.9,23
Córdoba,2024,Total,25.7,23
Córdoba,2025,Cabeceras,10.1,23
Córdoba,2025,Centros poblados  y rural disperso,29.7,23
Córdoba,2025,Total,19.8,23
Cundinamarca,2018,Cabeceras,6.8,25
Cundinamarca,2018,Centros poblados  y rural disperso,20.0,25
Cundinamarca,2018,Total,10.5,25
Cundinamarca,2019,Cabeceras,9.4,25
Cundinamarca,2019,Centros poblados  y rural disperso,20.5,25
Cundinamarca,2019,Total,12.3,25
Cundinamarca,2020,Cabeceras,9.4,25
Cundinamarca,2020,Centros poblados  y rural disperso,17.1,25
Cundinamarca,2020,Total,11.4,25
Cundinamarca,2021,Cabeceras,8.1,25
Cundinamarca,2021,Centros poblados  y rural disperso,13.3,25
Cundinamarca,2021,Total,9.4,25
Cundinamarca,2022,Cabeceras,6.3,25
Cundinamarca,2022,Centros poblados  y rural disperso,10.4,25
Cundinamarca,2022,Total,7.3,25
Cundinamarca,2023,Cabeceras,7.8,25
