cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
05628,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05631,402,378,402,51,1,400,Fecha corte REPS: Mar 12 2026  3:11PM
05642,19,19,19,2,1,18,Fecha corte REPS: Mar 12 2026  3:11PM
05647,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05649,13,12,13,4,2,11,Fecha corte REPS: Mar 12 2026  3:11PM
05652,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05656,19,19,19,2,1,18,Fecha corte REPS: Mar 12 2026  3:11PM
05658,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05659,11,11,11,1,1,10,Fecha corte REPS: Mar 12 2026  3:11PM
05660,18,18,18,1,1,17,Fecha corte REPS: Mar 12 2026  3:11PM
05664,57,55,57,7,3,54,Fecha corte REPS: Mar 12 2026  3:11PM
05665,6,6,6,4,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05667,17,15,17,5,3,14,Fecha corte REPS: Mar 12 2026  3:11PM
05670,17,16,17,3,2,15,Fecha corte REPS: Mar 12 2026  3:11PM
05674,24,24,24,1,0,24,Fecha corte REPS: Mar 12 2026  3:11PM
05679,11,11,11,1,1,10,Fecha corte REPS: Mar 12 2026  3:11PM
05686,64,63,64,6,0,63,Fecha corte REPS: Mar 12 2026  3:11PM
05690,6,5,6,2,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
05697,75,71,75,7,1,74,Fecha corte REPS: Mar 12 2026  3:11PM
05736,51,50,51,8,2,49,Fecha corte REPS: Mar 12 2026  3:11PM
05756,56,49,56,6,3,53,Fecha corte REPS: Mar 12 2026  3:11PM
05761,9,9,9,1,1,8,Fecha corte REPS: Mar 12 2026  3:11PM
