cod_mpio,year,month,cod_dpto,departamento,municipio,population_total,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_microdata_available
05001,2023,11,05,Antioquia,Medellín,2518480,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,225.0,225.0,True
05001,2023,12,05,Antioquia,Medellín,2518480,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,180.0,180.0,True
05001,2024,1,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,195.0,195.0,True
05001,2024,2,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,229.0,229.0,True
05001,2024,3,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,262.0,262.0,True
05001,2024,4,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,283.0,283.0,True
05001,2024,5,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,236.0,236.0,True
05001,2024,6,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,206.0,206.0,True
05001,2024,7,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,227.0,227.0,True
05001,2024,8,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,227.0,227.0,True
05001,2024,9,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,279.0,279.0,True
05001,2024,10,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,244.0,244.0,True
05001,2024,11,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,218.0,218.0,True
05001,2024,12,05,Antioquia,Medellín,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,205.0,205.0,True
05001,2025,1,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,2,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,3,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,4,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,5,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,6,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,7,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,8,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,9,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,10,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,11,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
05001,2025,12,05,Antioquia,Medellín,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,False
