cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
05425,2024,5,5,1
05440,2021,25,25,1
05440,2022,46,46,1
05440,2023,66,66,1
05440,2024,82,82,2
05467,2021,3,3,1
05467,2022,2,2,1
05467,2024,1,1,1
05475,2021,1,1,1
05475,2024,4,4,1
05480,2022,7,7,1
05480,2023,4,4,1
05480,2024,5,5,1
05483,2021,7,7,1
05483,2022,8,8,1
05483,2023,5,5,1
05483,2024,9,9,1
05490,2021,24,24,1
05490,2022,26,26,1
05490,2023,40,40,2
05490,2024,28,28,1
05495,2021,7,7,1
05495,2022,13,13,1
05495,2023,17,17,1
05495,2024,13,13,1
05501,2021,2,2,1
05501,2022,3,3,1
05501,2023,2,2,1
05501,2024,1,1,1
05541,2021,16,16,1
05541,2022,26,26,1
05541,2023,28,28,1
05541,2024,34,34,2
05543,2021,4,4,1
05543,2022,8,8,1
05543,2023,5,5,1
05543,2024,13,13,1
05576,2021,1,1,1
05576,2022,7,7,1
05576,2023,15,15,1
05576,2024,9,9,1
05579,2021,7,7,3
05579,2022,21,21,1
05579,2023,13,13,1
05579,2024,6,6,1
05585,2021,1,1,1
05585,2022,5,5,1
05585,2023,6,6,1
05585,2024,3,3,1
05591,2021,9,9,1
05591,2022,5,5,1
05591,2023,13,13,1
05591,2024,15,15,1
05604,2021,9,9,1
05604,2022,11,11,1
05604,2023,11,11,1
05604,2024,9,9,1
05607,2021,16,16,1
05607,2022,17,17,1
05607,2023,14,14,1
05607,2024,16,16,1
05615,2021,135,135,2
05615,2022,217,217,3
05615,2023,248,248,3
05615,2024,222,222,7
05628,2021,2,2,1
05628,2022,1,1,1
05628,2023,5,5,1
05628,2024,1,1,1
05631,2021,31,31,1
05631,2022,56,56,3
05631,2023,86,86,4
05631,2024,89,89,5
05642,2021,10,10,1
05642,2022,8,8,1
05642,2023,5,5,1
05642,2024,16,16,2
05647,2021,2,2,1
05647,2022,2,2,1
05647,2023,2,2,2
05647,2024,6,6,1
05649,2021,2,2,1
05649,2022,3,3,1
05649,2023,9,9,1
05649,2024,9,9,1
05652,2021,3,3,1
05652,2022,4,4,1
05652,2023,3,3,1
05652,2024,3,3,1
05656,2021,13,13,1
05656,2022,14,14,2
05656,2023,5,5,2
05656,2024,8,8,1
05658,2022,5,5,1
05658,2023,2,2,1
05658,2024,7,7,1
05659,2021,6,6,1
05659,2022,11,11,1
05659,2023,4,4,1
05659,2024,10,10,1
05660,2021,12,12,1
05660,2022,19,19,1
05660,2023,11,11,1
05660,2024,7,7,1
05664,2021,25,25,1
05664,2022,10,10,2
05664,2023,13,13,1
05664,2024,39,39,2
05665,2021,7,7,1
05665,2022,9,9,1
05665,2023,9,9,1
05665,2024,10,10,1
05667,2021,3,3,1
05667,2022,8,8,1
05667,2023,6,6,1
05667,2024,4,4,1
05670,2021,9,9,1
05670,2022,6,6,1
05670,2023,6,6,1
05670,2024,14,14,1
05674,2021,11,11,1
05674,2022,16,16,1
05674,2023,13,13,3
05674,2024,12,12,1
05679,2021,9,9,1
05679,2022,10,10,1
05679,2023,21,21,1
05679,2024,14,14,1
05686,2021,30,30,1
05686,2022,42,42,1
05686,2023,40,40,1
05686,2024,28,28,1
05690,2021,10,10,1
05690,2022,7,7,1
05690,2023,11,11,1
05690,2024,14,14,2
05697,2021,36,36,2
05697,2022,71,71,1
05697,2023,45,45,1
05697,2024,17,17,1
05736,2021,22,22,1
05736,2022,37,37,2
05736,2023,23,23,3
05736,2024,13,13,2
05756,2021,45,45,1
05756,2022,40,40,1
05756,2023,40,40,2
05756,2024,32,32,1
05761,2021,2,2,1
05761,2022,6,6,1
05761,2023,11,11,2
05761,2024,19,19,2
05789,2021,7,7,1
05789,2022,16,16,1
05789,2023,8,8,1
05789,2024,6,6,1
05790,2021,11,11,1
05790,2022,11,11,2
05790,2023,21,21,1
05790,2024,15,15,1
05792,2021,7,7,2
05792,2022,6,6,1
05792,2023,7,7,1
05792,2024,6,6,1
05809,2021,5,5,1
05809,2022,2,2,1
05809,2023,6,6,2
05809,2024,9,9,2
05819,2021,6,6,1
05819,2022,3,3,1
05819,2023,5,5,1
05819,2024,3,3,1
05837,2021,20,20,1
05837,2022,50,50,2
05837,2023,44,44,1
05837,2024,76,76,3
05842,2021,1,1,1
05842,2024,2,2,1
05847,2021,13,13,1
05847,2022,12,12,1
05847,2023,8,8,1
05847,2024,16,16,2
05854,2021,14,14,1
05854,2022,12,12,1
05854,2023,14,14,1
05854,2024,8,8,1
05856,2021,2,2,1
05856,2022,3,3,1
05856,2023,3,3,1
05856,2024,1,1,1
05858,2021,7,7,1
05858,2022,13,13,1
05858,2023,13,13,1
05858,2024,10,10,1
05861,2021,6,6,1
05861,2022,2,2,1
05861,2023,10,10,3
05861,2024,9,9,1
05873,2023,1,1,1
05885,2021,7,7,1
05885,2022,4,4,1
05885,2023,3,3,1
05885,2024,4,4,1
05887,2021,39,39,1
05887,2022,75,75,1
05887,2023,58,58,1
05887,2024,54,54,1
05890,2021,8,8,1
05890,2022,9,9,1
05890,2023,13,13,2
05890,2024,13,13,1
05893,2021,6,6,1
05893,2022,6,6,1
05893,2023,10,10,1
05893,2024,8,8,1
05895,2021,16,16,1
05895,2022,12,12,1
05895,2023,14,14,1
05895,2024,10,10,1
08001,2021,786,786,4
08001,2022,960,960,5
08001,2023,1078,1078,9
08001,2024,1010,1010,4
08078,2021,42,42,2
08078,2022,50,50,1
08078,2023,77,77,2
08078,2024,62,62,1
08137,2021,4,4,1
08137,2022,6,6,1
08137,2024,13,13,1
08141,2021,7,7,1
08141,2022,6,6,1
08141,2023,12,12,1
08141,2024,4,4,1
08296,2021,32,32,1
08296,2022,81,81,2
08296,2023,58,58,1
08296,2024,61,61,1
08372,2021,15,15,1
08372,2022,29,29,1
08372,2023,25,25,1
08372,2024,23,23,1
08421,2021,4,4,1
08421,2022,9,9,1
08421,2023,6,6,1
08421,2024,15,15,3
08433,2021,63,63,1
08433,2022,87,87,3
08433,2023,128,128,1
08433,2024,131,131,2
08436,2021,9,9,1
08436,2022,5,5,1
08436,2023,4,4,1
08436,2024,23,23,1
08520,2021,19,19,1
08520,2022,16,16,1
08520,2023,21,21,2
08520,2024,20,20,2
08549,2021,3,3,1
08549,2022,5,5,1
08549,2023,3,3,1
08549,2024,2,2,1
08558,2021,10,10,2
08558,2022,7,7,1
08558,2023,10,10,1
08558,2024,10,10,1
08560,2021,12,12,1
08560,2022,17,17,1
08560,2023,18,18,1
08560,2024,21,21,1
08573,2021,27,27,1
08573,2022,32,32,1
08573,2023,61,61,2
08573,2024,41,41,1
08606,2021,5,5,1
08606,2022,9,9,1
08606,2023,9,9,1
08606,2024,7,7,2
08634,2021,15,15,1
08634,2022,37,37,1
08634,2023,38,38,2
08634,2024,46,46,1
08638,2021,59,59,1
08638,2022,56,56,1
08638,2023,92,92,1
08638,2024,104,104,3
08675,2021,6,6,1
08675,2022,1,1,1
08675,2023,6,6,2
08675,2024,7,7,1
08685,2021,8,8,2
08685,2022,15,15,2
08685,2023,20,20,1
08685,2024,21,21,3
08758,2021,340,340,2
08758,2022,407,407,4
08758,2023,530,530,3
08758,2024,465,465,4
08770,2021,6,6,1
08770,2022,11,11,1
08770,2023,9,9,1
08770,2024,17,17,1
08832,2021,9,9,1
08832,2022,6,6,1
08832,2023,5,5,1
08832,2024,3,3,1
08849,2021,1,1,1
08849,2022,8,8,1
08849,2023,4,4,1
08849,2024,11,11,1
11001,2021,4586,4586,24
11001,2022,5739,5739,25
11001,2023,5997,5997,34
11001,2024,5978,5978,26
13001,2021,425,425,7
13001,2022,556,556,8
13001,2023,677,677,6
13001,2024,595,595,4
13006,2021,3,3,1
13006,2022,11,11,1
13006,2023,5,5,1
13006,2024,4,4,1
13030,2021,1,1,1
13030,2022,6,6,1
13030,2023,3,3,1
13030,2024,5,5,2
13042,2021,2,2,1
13042,2022,4,4,1
13042,2023,7,7,1
