cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
15835,2022,8,8,1
15835,2023,5,5,2
15837,2021,3,3,1
15837,2022,6,6,1
15837,2023,5,5,1
15837,2024,7,7,2
15839,2023,1,1,1
15839,2024,2,2,1
15842,2021,1,1,1
15842,2022,6,6,1
15842,2023,7,7,1
15842,2024,5,5,1
15861,2021,2,2,1
15861,2022,5,5,1
15861,2023,6,6,1
15861,2024,12,12,2
15879,2021,3,3,1
15879,2023,1,1,1
15897,2021,7,7,1
15897,2022,5,5,1
15897,2023,3,3,1
15897,2024,3,3,1
17001,2021,549,549,7
17001,2022,623,623,10
17001,2023,712,712,12
17001,2024,603,603,16
17013,2021,19,19,1
17013,2022,24,24,1
17013,2023,24,24,1
17013,2024,26,26,1
17042,2021,29,29,1
17042,2022,36,36,1
17042,2023,46,46,3
17042,2024,39,39,1
17050,2021,13,13,1
17050,2022,16,16,1
17050,2023,12,12,2
17050,2024,13,13,2
17088,2021,9,9,2
17088,2022,12,12,1
17088,2023,18,18,1
17088,2024,7,7,1
17174,2021,66,66,2
17174,2022,70,70,2
17174,2023,92,92,2
17174,2024,52,52,2
17272,2021,8,8,1
17272,2022,10,10,2
17272,2023,13,13,1
17272,2024,11,11,1
17380,2021,69,69,2
17380,2022,76,76,5
17380,2023,92,92,2
17380,2024,128,128,2
17388,2021,8,8,1
17388,2022,5,5,1
17388,2023,3,3,1
17388,2024,4,4,1
17433,2021,12,12,1
17433,2022,26,26,1
17433,2023,16,16,1
17433,2024,21,21,1
17442,2021,3,3,2
17442,2022,9,9,1
17442,2023,13,13,2
17442,2024,9,9,1
17444,2021,24,24,2
17444,2022,16,16,2
17444,2023,11,11,2
17444,2024,17,17,2
17446,2021,3,3,1
17446,2023,1,1,1
17446,2024,1,1,1
17486,2021,19,19,1
17486,2022,19,19,1
17486,2023,29,29,2
17486,2024,37,37,2
17495,2021,2,2,1
17495,2022,7,7,1
17495,2023,4,4,1
17495,2024,5,5,1
17513,2021,7,7,1
17513,2022,19,19,2
17513,2023,20,20,1
17513,2024,14,14,2
17524,2021,9,9,2
17524,2022,12,12,1
17524,2023,15,15,1
17524,2024,23,23,2
17541,2021,11,11,1
17541,2022,10,10,2
17541,2023,13,13,1
17541,2024,13,13,2
17614,2021,49,49,2
17614,2022,119,119,2
17614,2023,81,81,3
17614,2024,63,63,1
17616,2021,8,8,1
17616,2022,9,9,2
17616,2023,10,10,1
17616,2024,5,5,1
17653,2021,12,12,1
17653,2022,12,12,1
17653,2023,15,15,1
17653,2024,19,19,1
17662,2021,13,13,1
17662,2022,13,13,1
17662,2023,16,16,1
17662,2024,9,9,2
17665,2021,4,4,2
17665,2022,3,3,1
17665,2024,7,7,2
17777,2021,18,18,1
17777,2022,20,20,1
17777,2023,41,41,4
17777,2024,26,26,1
17867,2021,5,5,1
17867,2022,3,3,1
17867,2023,14,14,1
17867,2024,4,4,1
17873,2021,72,72,3
17873,2022,65,65,3
17873,2023,69,69,2
17873,2024,69,69,2
17877,2021,22,22,1
17877,2022,25,25,1
17877,2023,18,18,1
17877,2024,15,15,2
18001,2021,132,132,8
18001,2022,142,142,2
18001,2023,144,144,5
18001,2024,109,109,7
18029,2021,3,3,1
18029,2022,3,3,1
18029,2023,1,1,1
18029,2024,2,2,2
18094,2021,5,5,1
18094,2022,5,5,1
18094,2023,12,12,1
18094,2024,9,9,1
18150,2021,15,15,1
18150,2022,11,11,1
18150,2023,15,15,1
18150,2024,15,15,1
18205,2021,1,1,1
18205,2022,6,6,1
18205,2023,5,5,1
18205,2024,5,5,1
18247,2021,11,11,1
18247,2022,12,12,1
18247,2023,15,15,1
18247,2024,7,7,1
18256,2021,8,8,1
18256,2022,9,9,1
18256,2023,10,10,1
18256,2024,1,1,1
18410,2021,4,4,1
18410,2022,9,9,1
18410,2023,4,4,1
18410,2024,5,5,2
18460,2021,2,2,1
18460,2022,3,3,1
18460,2023,4,4,1
18460,2024,7,7,1
18479,2021,1,1,1
18479,2023,2,2,1
18479,2024,3,3,1
18592,2021,15,15,1
18592,2022,17,17,1
18592,2023,19,19,1
18592,2024,12,12,1
18610,2021,11,11,1
18610,2022,10,10,1
18610,2023,4,4,1
18610,2024,5,5,1
18753,2021,39,39,1
18753,2022,32,32,2
18753,2023,43,43,1
18753,2024,32,32,1
18756,2021,4,4,1
18756,2022,4,4,1
18756,2023,9,9,1
18756,2024,6,6,1
18785,2021,3,3,1
18785,2022,9,9,1
18785,2023,6,6,3
18785,2024,3,3,1
18860,2021,3,3,1
18860,2022,5,5,1
18860,2023,3,3,1
18860,2024,2,2,2
19001,2021,197,197,4
19001,2022,317,317,6
19001,2023,489,489,15
19001,2024,433,433,8
19022,2021,3,3,1
19022,2022,7,7,1
19022,2023,9,9,1
19022,2024,7,7,1
19050,2021,13,13,1
19050,2022,24,24,1
19050,2023,21,21,1
19050,2024,16,16,1
19075,2021,13,13,1
19075,2022,19,19,2
19075,2023,9,9,1
19075,2024,16,16,1
19100,2021,8,8,1
19100,2022,11,11,2
19100,2023,9,9,1
19100,2024,15,15,1
19110,2021,7,7,1
19110,2022,6,6,1
19110,2023,5,5,1
19110,2024,8,8,1
19130,2021,14,14,2
19130,2022,13,13,1
19130,2023,21,21,1
19130,2024,13,13,1
19137,2021,24,24,1
19137,2022,30,30,1
19137,2023,26,26,1
19137,2024,26,26,1
19142,2021,9,9,1
19142,2022,15,15,1
19142,2023,8,8,1
19142,2024,19,19,1
19212,2021,10,10,1
19212,2022,32,32,1
19212,2023,24,24,1
19212,2024,17,17,1
19256,2021,15,15,2
19256,2022,17,17,1
19256,2023,25,25,1
19256,2024,24,24,1
19290,2021,5,5,1
19290,2022,7,7,1
19290,2023,9,9,1
19290,2024,7,7,1
19300,2021,3,3,1
19300,2022,2,2,1
19300,2023,4,4,1
19300,2024,4,4,1
19318,2021,7,7,1
19318,2022,7,7,1
19318,2023,13,13,1
19318,2024,6,6,1
19355,2021,17,17,1
19355,2022,11,11,1
19355,2023,23,23,1
19355,2024,26,26,1
19364,2021,14,14,2
19364,2022,12,12,1
19364,2023,12,12,1
19364,2024,14,14,1
19392,2021,1,1,1
19392,2022,5,5,1
19392,2023,8,8,1
19392,2024,7,7,1
19397,2021,1,1,1
19397,2022,1,1,1
19397,2023,5,5,1
19397,2024,3,3,1
19418,2021,3,3,1
19418,2022,4,4,1
19418,2023,2,2,1
19418,2024,1,1,1
19450,2021,5,5,1
19450,2022,4,4,2
19450,2023,10,10,1
19450,2024,4,4,1
19455,2021,20,20,1
19455,2022,25,25,1
19455,2023,9,9,1
19455,2024,15,15,2
19473,2021,10,10,1
19473,2022,10,10,2
19473,2023,12,12,2
19473,2024,16,16,1
19513,2021,8,8,1
19513,2022,6,6,1
19513,2023,5,5,1
19513,2024,7,7,1
19517,2021,31,31,1
19517,2022,40,40,2
19517,2023,55,55,1
19517,2024,58,58,1
19532,2021,12,12,1
19532,2022,6,6,1
19532,2023,11,11,1
19532,2024,11,11,1
19533,2021,4,4,1
19533,2022,5,5,1
19533,2023,7,7,1
19533,2024,5,5,1
19548,2021,7,7,1
19548,2022,17,17,1
19548,2023,19,19,1
19548,2024,22,22,1
19573,2021,8,8,1
19573,2022,9,9,1
19573,2023,9,9,1
19573,2024,21,21,2
19585,2021,6,6,1
19585,2022,11,11,1
19585,2023,5,5,1
19585,2024,6,6,1
19622,2021,4,4,1
19622,2022,1,1,1
19622,2023,3,3,1
19622,2024,5,5,1
19693,2023,1,1,1
19693,2024,3,3,1
19698,2021,66,66,2
19698,2022,66,66,1
19698,2023,70,70,1
19698,2024,43,43,1
19701,2021,3,3,1
19701,2022,1,1,1
19701,2023,2,2,1
19701,2024,3,3,1
19743,2021,9,9,1
19743,2022,15,15,1
19743,2023,21,21,2
19743,2024,14,14,2
19760,2021,1,1,1
19760,2022,2,2,1
19760,2023,7,7,2
19760,2024,5,5,1
19780,2021,15,15,1
19780,2022,15,15,1
19780,2023,7,7,1
19780,2024,8,8,3
19785,2021,5,5,2
19785,2022,6,6,1
19785,2023,1,1,1
19785,2024,5,5,2
19807,2021,16,16,1
19807,2022,24,24,1
19807,2023,24,24,2
19807,2024,30,30,1
19809,2021,6,6,1
19809,2022,7,7,1
19809,2023,3,3,1
19809,2024,3,3,1
19821,2021,37,37,1
19821,2022,47,47,1
19821,2023,34,34,1
19821,2024,24,24,2
19824,2021,7,7,1
19824,2022,5,5,1
19824,2023,10,10,1
19824,2024,8,8,1
19845,2021,7,7,2
19845,2022,2,2,1
19845,2023,1,1,1
19845,2024,2,2,1
20001,2021,205,205,3
20001,2022,231,231,3
20001,2023,279,279,8
20001,2024,296,296,4
20011,2021,55,55,3
20011,2022,55,55,2
20011,2023,62,62,4
20011,2024,79,79,3
20013,2021,20,20,1
20013,2022,25,25,1
20013,2023,19,19,2
20013,2024,27,27,1
20032,2021,7,7,2
20032,2022,4,4,1
20032,2023,3,3,1
20032,2024,8,8,1
20045,2021,10,10,1
20045,2022,16,16,1
20045,2023,13,13,1
20045,2024,12,12,1
20060,2021,11,11,2
20060,2022,18,18,2
20060,2023,23,23,2
20060,2024,15,15,2
20175,2021,6,6,1
20175,2022,9,9,1
20175,2023,13,13,1
20175,2024,7,7,1
20178,2021,14,14,1
20178,2022,7,7,1
20178,2023,14,14,1
20178,2024,14,14,1
20228,2021,15,15,1
20228,2022,31,31,1
20228,2023,26,26,2
20228,2024,15,15,1
20238,2021,18,18,1
20238,2022,14,14,1
20238,2023,18,18,1
20238,2024,21,21,2
20250,2021,13,13,1
20250,2022,17,17,1
20250,2023,19,19,1
20250,2024,20,20,1
20295,2022,1,1,1
20295,2023,5,5,1
20295,2024,3,3,2
20310,2021,1,1,1
20310,2022,4,4,1
20310,2023,5,5,1
20310,2024,3,3,1
20383,2021,6,6,1
20383,2022,3,3,1
20383,2023,3,3,3
20383,2024,7,7,1
20400,2021,16,16,1
20400,2022,30,30,1
20400,2023,26,26,2
20400,2024,35,35,2
20443,2021,8,8,3
20443,2022,3,3,1
20443,2023,6,6,1
20443,2024,6,6,2
20517,2021,9,9,1
20517,2022,13,13,2
20517,2023,5,5,1
20517,2024,13,13,1
20550,2021,19,19,2
20550,2022,17,17,2
20550,2023,11,11,2
20550,2024,17,17,2
20570,2021,8,8,1
20570,2022,11,11,1
20570,2023,23,23,1
20570,2024,18,18,1
20614,2021,7,7,1
20614,2022,7,7,1
20614,2023,8,8,1
20614,2024,9,9,1
20621,2021,17,17,1
20621,2022,13,13,1
20621,2023,17,17,1
20621,2024,15,15,2
20710,2021,16,16,2
20710,2022,18,18,1
20710,2023,16,16,1
20710,2024,16,16,1
20750,2021,12,12,1
20750,2022,6,6,1
20750,2023,7,7,1
20750,2024,12,12,1
20770,2021,17,17,1
20770,2022,11,11,1
20770,2023,18,18,1
20770,2024,8,8,2
20787,2021,3,3,1
20787,2022,3,3,1
20787,2023,6,6,1
20787,2024,5,5,1
23001,2021,400,400,7
23001,2022,527,527,5
23001,2023,480,480,8
23001,2024,474,474,5
23068,2021,12,12,1
23068,2022,13,13,1
23068,2023,21,21,1
23068,2024,19,19,2
23079,2021,4,4,1
23079,2022,8,8,1
23079,2023,6,6,1
23079,2024,9,9,1
23090,2021,7,7,1
23090,2022,7,7,2
23090,2023,10,10,1
23090,2024,17,17,1
23162,2021,61,61,1
23162,2022,91,91,2
23162,2023,77,77,6
23162,2024,99,99,2
23168,2021,5,5,2
23168,2022,8,8,1
23168,2023,7,7,1
23168,2024,7,7,1
23182,2021,30,30,2
23182,2022,18,18,1
23182,2023,29,29,1
23182,2024,37,37,1
23189,2021,31,31,1
23189,2022,47,47,1
23189,2023,45,45,2
23189,2024,52,52,1
23300,2021,12,12,1
23300,2022,8,8,2
23300,2023,8,8,2
23300,2024,15,15,2
23350,2021,2,2,1
23350,2022,1,1,1
23350,2023,3,3,1
23350,2024,4,4,1
23417,2021,53,53,2
23417,2022,56,56,1
23417,2023,59,59,3
23417,2024,54,54,2
23419,2021,2,2,1
23419,2022,4,4,1
23419,2023,4,4,2
23419,2024,5,5,1
23464,2021,9,9,1
23464,2022,6,6,1
23464,2023,4,4,1
23464,2024,10,10,2
23466,2021,32,32,2
23466,2022,35,35,2
23466,2023,26,26,1
23466,2024,49,49,1
23500,2021,9,9,1
23500,2022,9,9,1
23500,2023,10,10,1
23500,2024,9,9,1
23555,2021,32,32,1
23555,2022,38,38,1
23555,2023,40,40,2
23555,2024,38,38,1
23570,2021,15,15,1
23570,2022,11,11,1
23570,2023,16,16,1
23570,2024,8,8,1
23574,2021,10,10,1
23574,2022,6,6,1
23574,2023,6,6,1
23574,2024,15,15,2
23580,2021,15,15,2
23580,2022,20,20,1
23580,2023,9,9,1
23580,2024,18,18,1
23586,2021,5,5,2
23586,2022,3,3,1
23586,2023,10,10,1
23586,2024,6,6,1
23660,2021,55,55,2
23660,2022,49,49,2
23660,2023,82,82,2
23660,2024,61,61,2
23670,2021,8,8,1
23670,2022,6,6,1
23670,2023,22,22,1
23670,2024,21,21,1
23672,2021,18,18,1
23672,2022,19,19,1
23672,2023,23,23,1
23672,2024,14,14,1
23675,2021,24,24,1
23675,2022,13,13,1
23675,2023,17,17,1
23675,2024,13,13,1
23678,2021,12,12,1
23678,2022,10,10,1
23678,2023,7,7,1
23678,2024,10,10,1
23682,2021,3,3,1
23682,2022,2,2,1
23682,2023,1,1,1
23682,2024,2,2,1
23686,2021,12,12,1
23686,2022,9,9,1
23686,2023,28,28,2
23686,2024,27,27,1
23807,2021,36,36,1
23807,2022,37,37,1
23807,2023,68,68,1
23807,2024,77,77,1
23815,2021,6,6,1
23815,2022,12,12,1
23815,2023,14,14,1
23815,2024,8,8,1
23855,2021,15,15,1
23855,2022,25,25,1
23855,2023,12,12,1
23855,2024,22,22,3
25001,2021,20,20,1
25001,2022,15,15,2
25001,2023,21,21,1
25001,2024,9,9,1
25019,2021,2,2,1
25019,2022,5,5,1
25019,2023,2,2,1
25019,2024,13,13,1
25035,2021,4,4,1
25035,2022,14,14,1
25035,2023,8,8,1
25035,2024,10,10,1
25040,2021,9,9,1
25040,2022,7,7,2
25040,2023,7,7,1
25040,2024,6,6,2
25053,2021,6,6,1
25053,2022,6,6,1
25053,2023,9,9,2
25053,2024,8,8,1
25086,2021,1,1,1
25086,2022,5,5,1
25086,2023,1,1,1
25095,2021,1,1,1
25095,2022,1,1,1
25099,2021,5,5,1
25099,2022,8,8,1
25099,2023,8,8,1
25099,2024,8,8,2
25120,2021,12,12,1
25120,2022,2,2,1
25120,2023,1,1,1
25120,2024,1,1,1
25123,2021,9,9,1
25123,2022,12,12,2
25123,2023,15,15,1
25123,2024,11,11,1
25126,2021,50,50,1
25126,2022,79,79,2
25126,2023,83,83,3
25126,2024,94,94,4
25148,2021,7,7,1
25148,2022,8,8,1
25148,2023,12,12,2
25148,2024,7,7,2
25151,2021,18,18,1
25151,2022,17,17,1
25151,2023,16,16,1
25151,2024,10,10,2
25154,2021,5,5,1
25154,2023,3,3,1
25154,2024,3,3,1
25168,2021,6,6,3
25168,2022,1,1,1
25168,2023,1,1,1
25175,2021,90,90,1
25175,2022,166,166,2
25175,2023,177,177,9
25175,2024,119,119,2
25178,2021,7,7,1
25178,2022,5,5,1
25178,2023,6,6,1
25178,2024,8,8,1
25181,2021,10,10,1
25181,2022,8,8,1
25181,2023,12,12,1
25181,2024,7,7,1
25183,2021,7,7,1
25183,2022,14,14,3
25183,2023,9,9,2
25183,2024,12,12,2
25200,2021,2,2,1
25200,2022,11,11,1
25200,2023,10,10,1
25200,2024,21,21,2
25214,2021,15,15,1
25214,2022,27,27,3
25214,2023,38,38,2
25214,2024,30,30,4
25224,2021,3,3,1
25224,2022,1,1,1
25224,2023,1,1,1
25224,2024,2,2,1
25245,2021,10,10,1
25245,2022,19,19,3
25245,2023,19,19,1
25245,2024,17,17,2
25258,2021,3,3,1
25258,2022,5,5,2
25258,2023,6,6,1
25258,2024,6,6,1
25260,2021,15,15,1
25260,2022,34,34,3
25260,2023,34,34,2
25260,2024,19,19,1
25269,2021,88,88,3
25269,2022,102,102,3
25269,2023,128,128,8
25269,2024,174,174,6
25279,2021,7,7,1
25279,2022,5,5,1
25279,2023,1,1,1
25279,2024,4,4,1
25281,2021,3,3,1
25281,2022,6,6,1
25281,2023,11,11,1
25281,2024,8,8,1
25286,2021,48,48,2
25286,2022,86,86,3
25286,2023,115,115,4
25286,2024,74,74,4
25288,2021,4,4,1
25288,2022,2,2,1
25288,2023,2,2,1
25288,2024,2,2,1
25290,2021,84,84,2
25290,2022,134,134,4
25290,2023,146,146,5
25290,2024,127,127,4
25293,2023,1,1,1
25295,2021,6,6,1
25295,2022,17,17,3
25295,2023,15,15,4
25295,2024,8,8,1
25297,2021,1,1,1
25297,2022,3,3,1
25297,2023,5,5,1
25297,2024,3,3,1
25299,2022,1,1,1
25299,2023,2,2,1
25307,2021,77,77,2
25307,2022,86,86,2
25307,2023,74,74,3
25307,2024,101,101,3
25312,2021,3,3,1
25312,2022,5,5,2
25312,2023,3,3,1
25312,2024,2,2,1
25317,2021,12,12,2
25317,2022,4,4,1
25317,2023,5,5,1
25317,2024,3,3,1
25320,2021,32,32,2
25320,2022,42,42,3
25320,2023,31,31,1
25320,2024,53,53,3
25322,2021,10,10,1
25322,2022,10,10,2
25322,2023,10,10,1
25322,2024,14,14,1
25324,2022,1,1,1
25324,2023,1,1,1
25324,2024,1,1,1
25326,2021,2,2,1
25326,2023,5,5,2
25326,2024,4,4,1
25328,2022,1,1,1
25328,2024,2,2,1
25335,2021,13,13,1
25335,2022,11,11,1
25335,2023,4,4,1
25335,2024,8,8,1
25339,2021,5,5,1
25339,2022,5,5,1
25339,2023,3,3,1
25339,2024,2,2,1
25368,2021,1,1,1
25368,2022,2,2,1
25368,2024,1,1,1
25372,2021,2,2,1
25372,2022,3,3,1
25372,2023,3,3,1
25372,2024,1,1,1
25377,2021,6,6,1
25377,2022,15,15,2
25377,2023,20,20,2
25377,2024,21,21,2
25386,2021,10,10,3
25386,2022,11,11,1
25386,2023,17,17,1
25386,2024,24,24,1
25394,2021,2,2,1
25394,2022,6,6,1
25394,2023,3,3,1
25394,2024,5,5,1
25398,2021,4,4,1
25398,2022,1,1,1
25398,2023,6,6,1
25398,2024,3,3,1
25402,2021,11,11,3
25402,2022,14,14,1
25402,2023,18,18,1
25402,2024,10,10,1
25407,2021,2,2,1
25407,2022,6,6,1
25407,2023,4,4,1
25407,2024,4,4,1
25426,2021,3,3,1
25426,2022,3,3,1
25426,2023,3,3,1
25426,2024,1,1,1
25430,2021,83,83,2
25430,2022,87,87,4
25430,2023,84,84,5
25430,2024,89,89,6
25436,2021,2,2,1
25436,2022,3,3,1
25436,2024,1,1,1
25438,2021,4,4,1
25438,2022,6,6,1
25438,2023,5,5,1
25438,2024,2,2,2
25473,2021,40,40,2
25473,2022,86,86,2
25473,2023,76,76,6
25473,2024,86,86,3
25483,2022,1,1,1
25483,2023,1,1,1
25483,2024,3,3,1
25486,2021,4,4,1
25486,2022,12,12,1
25486,2023,12,12,1
25486,2024,19,19,1
25488,2021,7,7,1
25488,2022,7,7,1
25488,2023,5,5,1
25488,2024,12,12,1
25489,2022,1,1,1
25489,2023,2,2,1
25489,2024,1,1,1
25491,2021,3,3,1
25491,2022,6,6,1
25491,2023,2,2,1
25491,2024,2,2,1
25506,2021,3,3,1
25506,2022,1,1,1
25506,2023,2,2,1
25506,2024,5,5,1
25513,2021,28,28,2
25513,2022,41,41,5
25513,2023,37,37,3
25513,2024,43,43,1
25518,2021,4,4,1
25518,2022,4,4,1
25518,2024,3,3,1
25524,2021,7,7,2
25524,2022,2,2,1
25524,2023,3,3,1
25524,2024,1,1,1
25530,2021,6,6,1
25530,2022,6,6,2
25530,2023,5,5,1
25530,2024,3,3,1
25535,2021,8,8,2
25535,2022,6,6,1
25535,2023,3,3,1
25535,2024,3,3,1
25572,2021,11,11,1
25572,2022,25,25,1
25572,2023,11,11,1
25572,2024,9,9,2
25580,2023,1,1,1
25592,2021,1,1,1
25592,2022,6,6,2
25592,2024,1,1,1
25594,2021,7,7,1
25594,2022,14,14,2
25594,2023,3,3,1
25594,2024,5,5,2
25596,2021,1,1,1
25596,2023,3,3,1
25596,2024,1,1,1
25599,2021,6,6,1
25599,2022,6,6,2
25599,2024,4,4,1
25612,2021,6,6,1
25612,2022,7,7,1
25612,2023,9,9,2
25612,2024,9,9,2
25645,2021,3,3,1
25645,2022,11,11,1
25645,2023,5,5,1
25645,2024,9,9,2
25649,2021,5,5,1
25649,2022,6,6,1
25649,2023,6,6,1
25649,2024,4,4,1
25653,2021,3,3,1
25653,2022,1,1,1
25653,2023,3,3,1
25653,2024,2,2,1
25658,2021,11,11,2
25658,2022,11,11,1
25658,2023,6,6,1
25658,2024,9,9,1
25662,2021,3,3,1
25662,2022,8,8,1
25662,2023,4,4,1
25662,2024,3,3,1
25718,2021,4,4,1
25718,2022,11,11,1
25718,2023,7,7,1
25718,2024,9,9,1
25736,2021,9,9,2
25736,2022,6,6,2
25736,2023,6,6,2
25736,2024,12,12,3
25740,2021,30,30,1
25740,2022,40,40,3
25740,2023,27,27,3
25740,2024,21,21,2
25743,2021,12,12,2
25743,2022,18,18,3
25743,2023,18,18,2
25743,2024,18,18,1
25745,2021,7,7,1
25745,2022,13,13,1
25745,2023,5,5,1
25745,2024,7,7,2
25754,2021,294,294,4
25754,2022,617,617,6
25754,2023,776,776,4
25754,2024,667,667,4
25758,2021,10,10,1
25758,2022,18,18,1
25758,2023,30,30,1
25758,2024,23,23,1
25769,2021,4,4,1
25769,2022,15,15,1
25769,2023,22,22,2
25769,2024,9,9,1
25772,2021,2,2,1
25772,2022,7,7,1
25772,2023,9,9,1
25772,2024,6,6,2
25777,2021,6,6,1
25777,2022,3,3,1
25777,2023,9,9,1
25777,2024,6,6,1
25779,2021,6,6,1
25779,2022,3,3,1
25779,2023,5,5,1
25779,2024,1,1,1
25781,2021,3,3,2
25781,2022,2,2,1
25781,2023,2,2,1
25781,2024,3,3,1
25785,2021,11,11,1
25785,2022,7,7,1
25785,2023,14,14,1
25785,2024,16,16,2
25793,2021,2,2,1
25793,2022,1,1,1
25793,2024,6,6,1
25797,2021,4,4,1
25797,2022,8,8,1
25797,2023,8,8,1
25797,2024,9,9,1
25799,2021,14,14,1
25799,2022,11,11,1
25799,2023,15,15,3
25799,2024,22,22,2
25805,2021,1,1,1
25805,2022,7,7,1
25805,2023,3,3,1
25807,2021,1,1,1
25807,2024,1,1,1
25815,2021,7,7,1
25815,2022,15,15,2
25815,2023,17,17,1
25815,2024,40,40,2
25817,2021,39,39,2
25817,2022,51,51,4
25817,2023,69,69,4
25817,2024,46,46,3
25823,2021,6,6,1
25823,2022,7,7,1
25823,2023,3,3,1
25823,2024,3,3,1
25839,2021,1,1,1
25839,2022,3,3,1
25839,2023,3,3,1
25839,2024,1,1,1
25841,2021,1,1,1
25841,2022,6,6,1
25841,2023,10,10,2
25841,2024,1,1,1
25843,2021,23,23,2
25843,2022,31,31,1
25843,2023,34,34,1
25843,2024,53,53,1
25845,2021,4,4,1
25845,2022,6,6,1
25845,2023,4,4,1
25845,2024,3,3,1
25851,2021,1,1,1
25851,2023,6,6,1
25851,2024,3,3,1
25862,2022,1,1,1
25862,2023,2,2,1
25862,2024,3,3,1
25867,2021,2,2,1
25867,2022,2,2,1
25867,2023,4,4,1
25871,2021,3,3,1
25871,2024,4,4,1
25873,2021,7,7,1
25873,2022,14,14,2
25873,2023,7,7,1
25873,2024,5,5,1
25875,2021,8,8,1
25875,2022,36,36,2
25875,2023,11,11,2
25875,2024,32,32,2
25878,2021,4,4,2
25878,2022,5,5,1
25878,2023,9,9,2
25878,2024,12,12,1
25885,2021,1,1,1
25885,2022,7,7,1
25885,2023,3,3,1
25885,2024,8,8,2
25898,2021,1,1,1
25898,2023,6,6,1
25898,2024,5,5,1
25899,2021,108,108,3
25899,2022,126,126,3
25899,2023,166,166,5
25899,2024,143,143,4
27001,2021,19,19,1
27001,2022,21,21,2
27001,2023,32,32,2
27001,2024,40,40,2
27006,2022,1,1,1
27006,2023,1,1,1
27006,2024,2,2,1
27025,2021,11,11,1
27025,2022,6,6,1
27025,2023,6,6,1
27025,2024,4,4,1
27050,2021,2,2,1
27050,2024,2,2,1
27073,2022,1,1,1
27073,2023,1,1,1
27075,2021,3,3,1
27075,2022,4,4,1
27075,2023,4,4,1
27075,2024,6,6,2
27077,2021,2,2,1
27077,2023,2,2,1
27077,2024,9,9,1
27099,2022,15,15,1
27099,2023,35,35,1
27099,2024,35,35,1
27135,2021,1,1,1
27135,2024,4,4,1
27150,2021,1,1,1
27150,2023,1,1,1
27160,2021,1,1,1
27160,2023,1,1,1
27205,2021,10,10,1
27205,2022,9,9,1
27205,2023,2,2,1
27205,2024,3,3,1
27245,2021,4,4,1
27245,2022,4,4,1
27245,2023,2,2,1
27245,2024,4,4,2
27250,2024,1,1,1
27361,2021,5,5,1
27361,2022,5,5,1
27361,2023,7,7,1
27361,2024,18,18,1
27413,2021,1,1,1
27413,2022,1,1,1
27413,2024,1,1,1
27425,2022,2,2,1
27425,2024,1,1,1
27430,2022,1,1,1
27430,2023,2,2,1
27450,2022,1,1,1
27450,2023,2,2,1
27450,2024,1,1,1
27491,2021,2,2,1
27491,2022,1,1,1
27491,2023,4,4,1
27491,2024,3,3,1
27493,2024,2,2,2
27495,2021,3,3,1
27495,2022,1,1,1
27580,2023,1,1,1
27600,2023,1,1,1
27600,2024,2,2,1
27615,2021,1,1,1
27615,2022,2,2,1
27615,2023,5,5,1
27615,2024,14,14,1
27660,2021,2,2,1
27660,2023,2,2,1
27660,2024,2,2,1
27745,2024,2,2,1
27787,2021,2,2,1
27787,2022,2,2,1
27787,2023,2,2,1
27787,2024,9,9,1
27800,2021,2,2,1
27800,2022,5,5,1
27800,2023,2,2,1
27800,2024,1,1,1
27810,2023,2,2,1
41001,2021,223,223,7
41001,2022,311,311,7
41001,2023,390,390,7
41001,2024,246,246,5
41006,2021,26,26,1
41006,2022,22,22,1
41006,2023,32,32,1
41006,2024,17,17,2
41013,2021,9,9,1
41013,2022,7,7,1
41013,2023,14,14,1
41013,2024,6,6,1
41016,2021,13,13,1
41016,2022,16,16,1
41016,2023,18,18,1
41016,2024,8,8,1
41020,2021,13,13,1
41020,2022,12,12,1
41020,2023,18,18,1
41020,2024,8,8,1
41026,2021,2,2,1
41026,2022,2,2,1
41026,2023,3,3,1
41026,2024,6,6,1
41078,2021,3,3,1
41078,2022,1,1,1
41078,2023,12,12,1
41078,2024,2,2,1
41132,2021,17,17,1
41132,2022,17,17,1
41132,2023,15,15,3
41132,2024,32,32,2
41206,2021,5,5,2
41206,2022,7,7,1
41206,2023,4,4,1
41206,2024,3,3,1
41244,2021,2,2,1
41244,2022,2,2,1
41244,2023,3,3,1
41244,2024,1,1,1
41298,2021,58,58,2
41298,2022,67,67,2
41298,2023,48,48,1
41298,2024,69,69,1
41306,2021,11,11,1
41306,2022,14,14,1
41306,2023,19,19,1
41306,2024,17,17,1
41319,2021,8,8,1
41319,2022,10,10,1
41319,2023,16,16,1
41319,2024,7,7,1
41349,2021,6,6,1
41349,2022,8,8,3
41349,2023,3,3,1
41349,2024,5,5,1
41357,2021,10,10,1
41357,2022,3,3,1
41357,2023,5,5,1
41357,2024,7,7,1
41359,2021,17,17,1
41359,2022,16,16,3
41359,2023,15,15,1
41359,2024,16,16,1
41378,2021,12,12,1
41378,2022,10,10,1
41378,2023,8,8,1
41378,2024,14,14,1
41396,2021,53,53,2
41396,2022,66,66,2
41396,2023,55,55,2
41396,2024,35,35,2
41483,2021,4,4,1
41483,2022,4,4,1
41483,2023,3,3,1
